CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Afrikaans_Translation
Binunu bisatu,Trois mille,,Drieduisend,Izinkulungwane ezintathu,9.90909090909091,Positif,Nombre,Three thousand,Drieduisend
Binunu bitanu,Cinq mille,,Vyfduisend,Izinkulungwane Eziyisihlanu,9.90909090909091,Positif,Nombre,Five thousand,Vyfduisend
Binunu dikumi,Dix mille,,Tienduisend,Izinkulungwane eziyishumi,9.90909090909091,Positif,Nombre,Ten thousand,Tienduisend
Binunu dikumi ne bibidi,Douze mille,,Twaalfduisend,Ishumi nambili,9.90909090909091,Positif,Nombre,Twelve thousand,Twaalfduisend
Binunu makumi abidi,Vingt mille,,Twintigduisend,Izinkulungwane ezingamashumi amabili,9.90909090909091,Positif,Nombre,Twenty thousand,Twintigduisend
Binunu makumi abidi ne bisatu,Vingt-trois mille,,Drie-en-twintigduisend,Izinkulungwane ezingamashumi amabili nantathu,9.90909090909091,Positif,Nombre,Twenty-three thousand,Drie-en-twintigduisend
"Bipendu, kupenda",Outrage,outrage,Woeding,Ukudelela,11.3636363636364,Positif,Mot,Outrage,Verontwaardiging
Bipia,Tresse,braided,Vlegsel,-Ted,11.5454545454546,Positif,Mot,Braided,Gevleg
Bipikilu,Bath,bath,Bad,Ukugeza,-5.0,Negatif,Mot,Bath,Bad
Bipusu,Gousse,pod,Kruidnagel,Upombolo,0.0,Neutre,Mot,Clove,Kruidnagel
Bisabata,Sandale,sandal,Sandaal,Isicathulo esivulekile,2.0,Negatif,Mot,Sandal,Sandale
Bisaka,Corbeille,basket,Mandjie,Ubhasikidi,5.0,Positif,Mot,Basket,Mandjie
Bisambusambu,Tabernacle,tabernacle,Tabernakel,Itabernale,4.0,Positif,Mot,Tabernacle,Tabernakel
Bishilangane,Contrairement,contrary to,Teendeel,Ngokuphikisana nayo,5.0,Negatif,Mot,Contrary to,In teenstelling met
Bishimikidi,Fondement,foundation,Stigting,Isisusa,3.0,Positif,Mot,Foundation,Stigting
Bisonji,Larme,tear,Skeur,Ukudabula,0.0,Neutre,Mot,Tear,Skeur
Bisonsa,Foin,hay,Hooi,Utshani oboile sebusikiwe,2.0,Neutre,Mot,Hay,Hooi
Bisote,Balle,ball,Sak,Ibhola,4.0,Positif,Mot,Ball,Bal
Bitambe,Amplement,amply,Vulsel,-Khulu,4.0,Positif,Mot,Amply,Ruim
Bitapikidi,Bourbier,quagmire,Modder,I-Quagmire,-3.0,Negatif,Mot,Quagmire,Moeras
Bitekete,Défaillant,failing,Mislukking,Isiphenzana,0.0,Neutre,Mot,Defective,Defektief
Bitulu bitulu,Exactement,Exactly,Presies,Ngokuyikho du,8.0,Positif,Mot,Exactly,Presies
Bituntuku,Reins,kidneys,Niere,Izinsolo,-3.0,Negatif,Mot,Kidneys,Niere
Bitupa bia bungi,Reprises,covers,Herstel,Iyaphinda,5.0,Positif,Mot,Reprises,Herhalings
Bitupa bia mubidi,Membre,member,Lid,Ilungu,4.0,Positif,Mot,Member,Lid
Biuma,Bien-être,well-being,Welstand,Inhlala-kahle,0.0,Neutre,Mot,Well-being,Welstand
Bizakalazakala,Raboteux,rugged,Rof,-Enziwe,-9.0,Negatif,Mot,Rugged,Robuust
Bouwa,Peut-être,maybe,Miskien,Kungenzeka,0.0,Neutre,Mot,Maybe,Miskien
Bu,Guise de,,Deur middel van,Ukuqagela kwe,5.0,Positif,Mot,Guise de,Guise de
Bu ,Environ,approximately,Oor,Cishu,5.0,Positif,Mot,Approximately,Ongeveer
Bu Mubidi,Corporel,bodily,Liggaamlik,Ukhoporali,5.0,Positif,Mot,Body,Liggaam
Bu mudi,Suivant,following,Volgende,Okulandelayo,5.0,Positif,Mot,Following,Volgende
Bu muntu,Naturellement,naturally,Natuurlik,Ngokwendabuko,5.0,Positif,Mot,Naturally,Natuurlik
Bua bualu,Moyen,AVERAGE,Gemiddeld,-Vamile,5.0,Positif,Mot,AVERAGE,GEMIDDELD
Bua Bualu,Cause,cause,Oorsaak,Dala,5.0,Positif,Mot,Cause,Oorsaak
Bua bualu ebu,Pourquoi,Why,Waarom,Kwani,5.0,Positif,Mot,For what,Vir wat
Bua kukema,Merveilleux,wonderful,Wonderlik,-Mangalisayo,8.0,Positif,Mot,Wonderful,Wonderlik
Bua muanda eu,Exprès ,on purpose,Uitdruk,Ngenjongo,0.0,Neutre,Mot,On purpose ,Met opset 
Bua pabuabu,Extraordinaire,extraordinary,Buitengewone,Mangalisayo,7.0,Positif,Mot,Extraordinary,Buitengewoon
Buakane,Justice,justice,Geregtigheid,Ubulungiswa,4.0,Positif,Mot,Justice,Geregtigheid
Buakane,Seoir,to sit down,Sit,Seoir,-6.0,Negatif,Mot,Seoir,Seoir
Buakuidi,Sacrificature,priesthood,Offer,Hlabela,0.0,Neutre,Mot,Sacrifice,Offer
Bualu,Crime,crime,Misdaad,Ubugebengu,-1.0,Negatif,Mot,Crime,Misdaad
Bualu,Cause,cause,Oorsaak,Dala,5.0,Positif,Mot,Cause,Oorsaak
Bualu bua,Effet ,effect,Effek,Umphumela,5.0,Positif,Mot,Effect ,Effek 
Bualu bua kukema,Prodige,prodigy,Wonderkind,Indawo okuphuma ezweni,4.0,Positif,Mot,Prodigy,Wonderkind
Bualu bukole,Difficilement,with difficulty,Skaars,Ngobunzima,5.0,Positif,Mot,With difficulty,Met moeite
Bualu busokoka,Mystère,mystery,Geheim,Imfihlakalo,6.0,Positif,Mot,Mystery,Misterie
Bualu busokoka bua bupidia,Mystère d'iniquité,,Geheim van Ongeregtigheid,Imfihlakalo Yobubi,6.0,Positif,Mot,Mystery of iniquity,Geheim van ongeregtigheid
"Bualu, muanda",Nouvelle,new,Nuut,-Kwanamuhla,4.0,Positif,Mot,New,Nuut
Buana,Enfance,childhood,Kinderjare,Ubuntwana,4.0,Positif,Mot,Childhood,Kinderjare
Buanga bua kulaba ku mesu,Collyre,eye drops,Oogspoelmiddel,I-Eye Drop,4.0,Positif,Mot,Eye drops,Oogdruppels
Buatu,Nacelle,basket,Boot,Ephathekayo,2.0,Negatif,Mot,Gondola,Gondel
Buatu bukese,Chaloupe,boat,Roei,Isikebhe,0.0,Neutre,Mot,Boat,Boot
Buatu; mushete,Arche,ark,Ark,UmkhumbiWE,1.0,Positif,Mot,Ark,Ark
Buatu.,Barque,boat,Bark,Isikebhe,1.0,Positif,Mot,Boat,Boot
Bubandi,Accusation,charge,Beskuldiging,Khokhisa,1.0,Positif,Mot,Charge,Aanklag
Bubanji bua bungi,Opulence,opulence,Weelde,Ukubizela,1.0,Negatif,Mot,Opulence,Oorvloed
Bubi,Iniquité,iniquity,Onreg,Ububi obukhona,-1.0,Negatif,Mot,Iniquity,Ongeregtigheid
Budi buakane,Convenir,agree,Geskik,Vumelana,3.0,Positif,Verbe,Agree,Stem saam
Budi buimpe,Convenable,suitable,Geskikte,-Fanele,5.0,Positif,Mot,Suitable,Geskik
Budi buitabujibua,Indulgence,indulgence,Verwennerij,Okuzindulelayo,2.0,Positif,Mot,Indulgence,Verwennerij
A dikamakama,Inconvenance ,impropriety,Onbetaamlikheid,Ukweqa noma,2.0,Positif,Mot,Impropriety ,Onbehoorlikheid 
A Dinanga,Aimable,kind,Aanneemlik,-Nomusa,6.0,Positif,Mot,Kind,Soortgelyk
A kuitabushisha,Persuasion,persuasion,Oorreding,Ukuncenga,2.0,Positif,Mot,Persuasion,Oorreding
A kukema,Étrange,odd,Vreemd,-Ngajwayelekile,9.0,Positif,Mot,Odd,Vreemd
A pabuawu,Exceptionnel,exceptional,Uitsonderlik,-Ngavamile,9.0,Positif,Mot,Exceptional,Uitsonderlik
A patupu,Vain,vain,Ydel,-Yize,5.0,Positif,Mot,Vain,Ydel
A tshianana,Oiseux,bird,Voëlagtig,Izinyoni,-3.0,Negatif,Mot,Birds,Voëls
Absinthe,Absinthe,absinthe,Absint,Absinthe,-3.0,Negatif,Mot,Absinthe,Absint
Adi a Tshiprofete,Prophétique,prophetic,Profeties,-Profethi,5.0,Positif,Mot,Prophetic,Profetiese
Adi akuatshisha,Profitable,profitable,Winsgewend,-Sizayo,5.0,Positif,Mot,Profitable,Winsgewend
"Adi ashima (meyi, mayisha)",Artificieux,artificial,Kunsmatig,Ubunye Ubukhali,5.0,Positif,Mot,Artificial,Kunsmatige
Alléluia,Alléluia,alleluia,Halleluja,Alleluia,8.0,Positif,Mot,Alleluia,Alleluja
Alo,Aloès,aloe,Aloe,I-aloe,-3.0,Negatif,Mot,Aloe,Aloe
Alpha,Alpha,alpha,Alfa,UFakaziyeli,8.0,Positif,Mot,Alpha,Alfa
Amen,Amen,Amen,Amen,Amen,8.0,Positif,Mot,Amen,Amen
Améthyste,Améthyste,amethyst,Ametis,Amethyst,-6.0,Positif,Mot,Amethyst,Ametis
Andi,Fonds,funds,Fundament,Izimali,9.0,Positif,Mot,Funds,Fondse
Anu,Excepté,except,Behalwe,Kuphela,5.0,Positif,Verbe,Except,Behalwe
Anu pinapu,Immédiatement,immediately,Onmiddellik,Eduze,5.0,Positif,Mot,Immediately,Onmiddellik
Anu tuaba tukese tudi tshale,Presque,almost,Byna,Pheshe,5.0,Positif,Mot,Almost,Amper
"Anu, misangu yonso,",Toutefois,however,Maar,Nokho,4.0,Positif,Mot,However,Maar
Apa,Présent,here,Teenwoordig,Lapha,4.0,Positif,Mot,Here,Hier
Apa pa buloba,Ici-bas,down here,Hier onder,Phansi lapha,5.0,Positif,Mot,down here,hier onder
Arène,Arène,arena,Arena,Inkundla,-3.0,Negatif,Mot,Arena,Arena
Argent,Argent,money,Geld,Imali,8.0,Positif,Mot,Money,Geld
Dî,Parole,speech,Woord,Uhlamvu lwegama,6.0,Positif,Mot,Words,Woorde
Dia balume,Droit,right,Wet,Ngakwesokudla,9.0,Positif,Mot,Right,Regs
Dia bana ne bana,Fraternel,fraternal,Broederlik,Imbangi,8.0,Positif,Mot,Fraternal,Broederlike
Dia mu ditumba,Angulaire,angular,Hoekig,-Ngularle,-3.0,Negatif,Mot,Angular,Hoekig
Dia,Dominical,Sunday,Heerlik,-Ngaphambili,0.0,Neutre,Verbe,Sunday,Sondag
Diabulu,Diable,devil,Duiwel,Onakele,-6.0,Negatif,Mot,Devil,Duiwel
"Diabulu, demon",Démon,demon,Demoon,Idimoni,-6.0,Negatif,Mot,Demon,Demoon
Diakane,Favorable,favorable,Gunstig,Vumelanayo,9.0,Positif,Mot,Favorable,Gunstig
Diakane,Commode ,convenient,Gerieflik,-Seduze,3.0,Positif,Mot,Convenient ,Gerieflik 
"Diakane, buimpe",Digne,worthy,Waardig,-Fanele,3.0,Positif,Mot,Worthy,Waardig
Diambedi,D’abord,First of all,Eerste,Okokuqala nje,8.0,Positif,Mot,First of all,Eerstens
Diandamuna,Réponse,answer,Antwoord,Impendulo,9.0,Positif,Mot,Answer,Antwoord
Diapa,Épaule,shoulder,Skouer,Igxalaba,2.0,Positif,Mot,Shoulder,Skouer
Diba,Heure,hour,Uur,Ihora,9.0,Positif,Mot,Hour,Uur
Diba,Soleil,sun,Son,Ilanga,8.0,Positif,Mot,Sun,Son
Diba adi,Aussitôt,right away,Onmiddellik,Khona manje,5.0,Positif,Mot,Right away,Dadelik
Diba dia buakane,Soleil de justice,,Son van Geregtigheid,Ilanga Lobulungiswa,4.0,Positif,Mot,Sun of Justice,Son van Geregtigheid
Diba dikese,Instant ,instant,Oombliklik,Khona manje,6.0,Positif,Mot,Instant ,Kits 
Dibaka,Mariage,marriage,Huwelik,Ukugana,9.0,Positif,Mot,Marriage,Huwelik
Dibala,Lecture,reading,Lees,Ukufunda,6.0,Positif,Mot,Reading,Lees
Dibanza,Dette,debt,Skuld,Isikweletu,9.0,Positif,Mot,Debt,Skuld
Dibaya,Planche,plank,Rand,Iplank,4.0,Positif,Mot,Plank,Plank
Dibeji,Feuille,leaf,Blaar,Ikhasi,5.0,Positif,Mot,Leaf,Blaar
Dibela,Discipliner,discipline,Dissipline,Imfundiso yokulalela,3.0,Positif,Mot,Discipline,Dissipline
Dibidi (dituku),Deuxième,second,Tweede,-Lekayo,7.0,Positif,Mot,Second,Tweede
Dibika ku lufu,Résurrection,resurrection,Opstanding,Ukubusa,6.0,Positif,Mot,Resurrection,Opstanding
Dibikidibua,Vocation,vocation,Roeping,Ubizo,5.0,Positif,Mot,Vocation,Roeping
Dibikila,Appel,call,Roeping,Memeza,5.0,Positif,Verbe,Call,Bel
Dibingishibua,Justification,justification,Regverdigmaking,Ukuthethelela isizathu esizwakalayo,5.0,Positif,Mot,Justification,Regverdiging
Diboko,Bras,arm,Arm,Hlomisa,4.0,Positif,Verbe,Arm,Arm
Dibue,Caillou,pebble,Klippie,Imbokojwana,3.0,Positif,Verbe,Pebble,Kiezel
Dibue a mushinga mukole,Permanent,permanent,Permanente,-Ngenakuguqulwa,2.0,Positif,Verbe,Permanent,Permanent
Dibue dia muditumba,Pierre (cause d'achoppement),,Steen (oorsaak van struikeling),UPeter (imbangela yokukhubeka),5.0,Positif,Verbe,Pierre (the sticking point),Pierre (die knelpunt)
Dibue dia tshilenduishi,Piété,piety,Vroomheid,Ukuphuthakaleka,4.0,Positif,Mot,Piety,Vroomheid
Dibue dinene,Meule,grindstone,Meulsteen,Ukugaya,2.0,Positif,Mot,Grinding wheel,Slypwiel
"Dibue dinene, lubuebue",Roc,rock,Rots,Itshe elikhulu,0.0,Neutre,Mot,Rock,Rots
Dibue ditoke tô,Cristal,crystal,Kristal,Itshe elikhanya okwengilazi,4.0,Positif,Mot,Crystal,Kristal
Dibuejibua,Introduction,introduction,Inleiding,Ukuqalisa,8.0,Positif,Mot,Introduction,Inleiding
Dibuela,Entrée,entrance,Ingang,Ukungena,5.0,Positif,Mot,Entrance,Ingang
Dibuelakana (malu mabuela kane),Désordre,mess,Wanorde,Nyakanyekisa,2.0,Positif,Mot,Mess,Gemors
Dibueneka ku mesu,Extérieurement,externally,Uitwendig,Ngaphesheya,4.0,Positif,Mot,Externally,Ekstern
Dibuikidila,Pardon,pardon,Vergifnis,Xolela,8.0,Positif,Mot,Pardon,Verskoon my
Dibuikidila (mulambu wa),Propitiation,propitiation,Versoening,Isazisa,3.0,Positif,Mot,Propitiation,Versoening
Dibulu,Masse,mass,Keppel,Okuninginingi,5.0,Positif,Mot,Mass,Massa
Dibuluibua,Révélation,revelation,Openbaring,Ukwazisa,5.1047619047619,Positif,Mot,Revelation,Openbaring
Dibungama,"Défait, Regret",,"Nederlaag, Spyt","Ahluliwe, asole",5.25119047619047,Positif,Mot,"Defeated, Regret","Verslaan, Spyt"
Dibungi,Nuage,cloud,Wolk,Amafu,5.39761904761904,Positif,Mot,Cloud,Wolk
Dibungibungi,Vapeur,steam,Damp,Isitimu,5.54404761904761,Positif,Mot,Steam,Stoom
Dibutuka,Désolation,desolation,Verlatenheid,Ukuncithakalo,5.69047619047619,Positif,Mot,Desolation,Verlatenheid
Didia dia disanka,Festin,feast,Fees,Idili,5.83690476190476,Positif,Mot,Feast,Feesmaal
Didianjila,Avance,advance,Vooruitgang,Sondela,5.98333333333333,Positif,Mot,Advance,Vooruitgang
Didianjila kukosa bualu mu mutshima,Préférence,preference,Voorkeur,Ukuqoka,6.1297619047619,Positif,Mot,Preference,Voorkeur
Didianjila kumanya,Préconnaissance,foreknowledge,Voorkennis,Ukuhlukanisela izinhlanga,6.27619047619047,Positif,Mot,Prior knowledge,Voorafgaande kennis
Didibingisha,Excuse,excuse,Verskoning,Xolela,6.42261904761904,Positif,Mot,Excuse,Verskoning
Dididishi,Fenêtre,window,Venster,Iwindi,0.0,Neutre,Mot,Window,Venster
Didikanda,Tempérance,temperance,Matigheid,Ukugxila,6.71547619047619,Positif,Mot,Temperance,Matigheid
"Didimuisha, dilongesha, kalasa",Discipline,discipline,Dissipline,Imfundiso yokulalela,6.86190476190476,Positif,Mot,Discipline,Dissipline
Didinga,Fraude,fraud,Bedrog,Ubuwanqa,7.00833333333333,Positif,Mot,Fraud,Bedrog
Didisankisha,Satisfaction,satisfaction,Tevredenheid,Ukugculiseka,7.1547619047619,Positif,Mot,Satisfaction,Tevredenheid
Didisua; diambu,Orgueil,pride,Trots,Ukuziqhenya,7.30119047619047,Positif,Mot,Pride,Trots
Didiunda,Croissance,growth,Groei,Ukundlondlobala,7.44761904761904,Positif,Mot,Growth,Groei
Didiundisha,Avancement,advancement,Vordering,Ukuqhubekela phambili,7.59404761904761,Positif,Mot,Advancement,Bevordering
Dieba,Aiguillon,sting,Angel,Tinyela,-3.0,Neutre,Mot,Sting,Steek
Diedibua dia manyi,Onction,anointing,Salwing,Ukugcotshwa,3.0,Positif,Mot,Anointing,Salwing
Dienza,Opérant,operating,Operasie,Osebenzayo,4.0,Positif,Mot,Operating,Bedryf
Dienzeja dia dipambuka,Énergie d'erreur,,Energie van dwaling,Amandla ephutha,-6.0,Negatif,Mot,Error energy,Foutenergie
Dienzejibua ku bukole,Contrainte,constraint,Beperking,Ingxabano,0.0,Positif,Mot,Constraint,Beperking
Difika dia munda,Courroux,wrath,Woede,Ukuthukusana,5.0,Positif,Mot,Wrath,Toorn
Difikisha munda,Irritation,irritation,Irritasie,Ukucunula,7.0,Positif,Mot,Irritation,Irritasie
Difu,Estomac,stomach,Maag,Isisu,5.0,Positif,Mot,Stomach,Maag
Difuma,Lance,spear,Spies,Izala,5.0,Positif,Mot,Spear,Spies
Difutu,Dépens,costs,Uitgawe,Izindleko,5.0,Positif,Mot,Expenses,Uitgawes
Dikenga,Tribulation,tribulation,Verdrukking,Usizi,5.0,Positif,Mot,Tribulation,Verdrukking
Dikenga,Détresse,distress,Nood,Usizi,-1.0,Negatif,Mot,Distress,Nood
Dikenga dia bintu,Privation,deprivation,Ontbering,Ukwehliswa,5.0,Positif,Mot,Deprivation,Ontneming
Dikengeshibua,Oppression,oppression,Onderdrukking,Ukuhlupheka,5.0,Positif,Mot,Oppression,Onderdrukking
Dikenke,Éclat,glow,Helderheid,Nkemuzela,5.0,Positif,Mot,Glow,Gloed
Dikima,Assurance,insurance,Versekering,Umshwalense,5.0,Positif,Mot,Insurance,Versekering
Dikisha,Repos,rest,Rus,Thulisa,5.0,Positif,Mot,Rest,Rus
Dikolesha,Exercer,exercise,Oefening,Vocavoca,5.0,Positif,Mot,Exercise,Oefening
Dikonka,Question,question,Vraag,Buza,5.0,Positif,Mot,Question,Vraag
Dikuatshisha,Contribution,contribution,Bydrae,Isethulo,5.0,Positif,Mot,Contribution,Bydrae
Dikuatshishangana,Fournissement,supply,Voorsiening,Phakela,5.0,Positif,Mot,Supply,Voorsiening
Dikudimuka,Variation,variation,Variasie,Ukuphenduka,5.0,Positif,Mot,Variation,Variasie
Dikudimuna,Changement,change,Verandering,Phendula,5.0,Positif,Mot,Change,Verandering
Dikudimuna dia mutshima,Repentance,repentance,Bekering,Ukuphenduka,5.0,Positif,Verbe,Repentance,Bekering
Dikuma dia mutshima bipeta mu njila mibi,Avide d'un gain honteux,,Gulsig vir skandelike wins,Ukuhaha inzuzo eyihlazo,5.0,Positif,Mot,Greedy for shameful gain,Gierig vir skandelike wins
Dikuma dia mutshima ku biuma,Avarice,avarice,Gierigheid,Iphazazela,5.0,Positif,Mot,Avarice,Gierigheid
Dikumbana,Accomplissement,accomplishment,Prestasie,Ubungcweti,4.0,Positif,Mot,Achievement,Prestasie
Dikumi,Dix,ten,Tien,Ishumi,10.0,Positif,Nombre,Ten,Tien
Dikumi ne binayi,Quatorze,fourteen,Veertien,Ishumi nane,8.0,Positif,Nombre,Fourteen,Veertien
Dikumi ne ibidi,Douze,twelve,Twaalf,Ishumi nambili,8.0,Positif,Nombre,Twelve,Twaalf
Dikumi ne itanu,Quinze,fifteen,Vyftien,Ishumi nanhlanu,8.0,Positif,Nombre,Fifteen,Vyftien
Dikumi ne muanda mukulu,Dix-huit,eighteen,Agtien,Ishumi nesishayagalombili,6.0,Positif,Nombre,Eighteen,Agtien
Dikumi ne umue,"Onze, Onzième",,"Elf, Elfde","Eleven, Eleventh",6.0,Positif,Nombre,"Eleven, Eleventh","Elf, Elfde"
Dikunji,Colonne,column,Kolom,Insika,6.0,Positif,Mot,Column,Kolom
Dikunyibua,Implanté,implanted,Ingeplant,-Yisimukisa,6.0,Positif,Mot,Implanted,Ingeplant
Dikunza,Roux,,Rooi,-Bhebhe kahle,6.0,Positif,mm,Redhead,Rooikop
Dikuta,Monnaie,cash,Geld,Ukheshi,6.0,Positif,Mot,Cash,Kontant
Dikuta dikese,Sou,penny,Sop,Ubuhlanga,6.0,Positif,Mot,Sou,Sou
Diledibua kua tshiakabidi,Régénération,regeneration,Regenerasie,Ukunyusa kabusha,6.0,Positif,Mot,Regeneration,Regenerasie
Dileja dia mampa,Propositions des pains,,Broodvoorstelle,Iziphakamiso zesinkwa,2.0,Positif,Mot,Bread suggestions,Broodvoorstelle
Dileja tshilema,Reproche,reproach,Verwyt,Ngqonhlamvu,8.0,Positif,Mot,Reproach,Verwyt
"Dilelela, tshidi tshia kueyemenyibua",Certain,certain,Seker,-Azi kahle,6.0,Positif,Mot,Certain,Seker
Dilengeja,Purification,purification,Suiwering,Ukuhlambululela,5.0,Positif,Mot,Purification,Suiwering
Dilengejibua,Perfection,perfection,Volmaaktheid,Ukuphelela du,5.0,Positif,Mot,Perfection,Perfeksie
Dilengesha,Parure,adornment,Versiering,Ukuhlobisa,5.0,Positif,Mot,Jewelry,Juweliersware
Dileta,Lettre,letter,Brief,Uhlamvu lokulandelana kwamagama,5.0,Positif,Mot,Letter,Brief
Diloba,Pêche,fishing,Visvang,Ukufakaza,5.0,Positif,Mot,Fishing,Visvang
Dilobo,Port,port,Hawe,Itheku,5.0,Positif,Mot,Port,Hawe
Dilolo,Soir,evening,Aand,Kusihlwa,5.0,Positif,Mot,Evening,Aand
Dilomba,Demande,request,Versoek,Nxusa,7.0,Positif,Mot,Request,Versoek
Dilondolola dia ndelanganyi,Généalogie,genealogy,Genealogie,Kohluzo,7.0,Positif,Mot,Genealogy,Genealogie
Dilonga,Bassin,basin,Bekken,Indishi,5.0,Positif,Mot,Basin,Wasbak
Dilonga (dialabale),Plat,flat,Skot,Caba,5.0,Positif,Mot,Flat,Plat
Dilongesha,Enseignement,education,Onderrig,Imfundo,5.0,Positif,Verbe,Education,Onderwys
Dilongolola,Préparation,preparation,Voorbereiding,Amalungiselelo,4.0,Positif,Verbe,Preparation,Voorbereiding
Dilua,Arrivée,arrival,Aankoms,Ukufika,1.0,Positif,Mot,Arrival,Aankoms
Diluangana,Lutte,struggle,Stryd,Umshikashika,2.0,Positif,Mot,Struggle,Stryd
Dilubakana,Embarras,embarrassment,Verleentheid,Ukuphoxeka,3.0,Positif,Verbe,Embarrassment,Verleentheid
Dilulama,Droiture,righteousness,Opregtheid,Ukulunga,4.0,Positif,Verbe,Righteousness,Geregtigheid
Dilumbuluisha,Jugement,judgement,Oordeel,Isahlulelo,1.0,Positif,Mot,Judgement,Oordeel
Dima,Argile,clay,Klei,Ubumba,2.0,Positif,Mot,Clay,Klei
Dimanya,Savoir,know,Kennis,Bona,3.0,Positif,Mot,Know,Weet
"Dimanya, lungenyi",Connaissance,awareness,Kennis,Ukuzwa,2.85714285714286,Positif,Mot,Awareness,Bewustheid
Dimanyisha,Information,information,Inligting,Ulwazi,3.0,Positif,Mot,Information,Inligting
Dimiamina,Aspersion,aspersion,Besprinkeling,Ukudabula,3.14285714285715,Positif,Mot,Aspersion,Aspersie
Diminu,Semence,seed,Saad,Inhlwanyelo,3.28571428571429,Positif,Mot,Seed,Saad
Dimoma,Rouille,rust,Roes,Ukugqwala,3.42857142857143,Positif,Mot,Rust,Roes
Dimueneka,Apparition,appearance,Voorkoms,Ukubonakala,3.57142857142857,Positif,Mot,Appearance,Voorkoms
Dimuenesha,Démonstration,demonstration,Demonstrasie,Isibonakaliso,3.71428571428572,Positif,Mot,Demonstration,Demonstrasie
Dina,Fos,fos,Fos,Ukuphambuza,3.85714285714286,Positif,Mot,Fos,Fos
Dina dia mayi,Fontaine,fountain,Fontein,Isisuko,4.0,Positif,Mot,Fountain,Fontein
Dinanga,Amour,love,Liefde,Thanda,4.14285714285715,Positif,Mot,Love,Liefde
Dinanga,Affection,affection,Geneentheid,Uthando,4.28571428571429,Positif,Mot,Affection,Liefde
Dinanukila,Persévérer,persevere,Volhard,Phikelela,4.42857142857143,Positif,Mot,Persevere,Volhard
Dinda,Matin,Morning,Oggend,Ekuseni,4.57142857142857,Positif,Mot,Morning,Oggend
Dinda,Point du jour,,Dagbreek,Iphuzu losuku,4.71428571428572,Positif,Mot,Daybreak,Dagbreek
Dinemekela,Révérence,reverence,Eerbied,Ukuhlonipha,4.85714285714286,Positif,Mot,Reverence,Eerbied
Dinkenke,Splendeur,splendor,Prag,Ubukhazikhazi,5.0,Positif,Mot,Splendor,Prag
Dinowa,Moisson,harvest,Oes,Okuvuniweyo,5.14285714285715,Positif,Mot,Harvest,Oes
Dinu,Dent,tooth,Tand,Izinyo,5.28571428571429,Positif,Mot,Tooth,Tand
Dinua,Boire,drink,Drank,Phuza,5.42857142857143,Positif,Mot,Drink,Drink
Dinunganyi,Rumeur,rumor,Gerug,Inzwabethi,5.57142857142857,Positif,Mot,Rumor,Gerug
Dinungu,Jointure,joint,Gewrig,Xhuma,5.71428571428572,Positif,Mot,Joint,Gewrig
"Dinvuenkenya, Lupuishi",Poussière,dust,Stof,Uthuli,5.85714285714286,Positif,Mot,Dust,Stof
Dinyanguka,Corruption,corruption,Korrupsie,Ukonakala,6.0,Positif,Mot,Corruption,Korrupsie
Dinyanguka dia moyo,Dissolution,dissolution,Ontbinding,Ukucacisa,6.14285714285715,Positif,Mot,Dissolution,Ontbinding
Dinyanguta,Avarie,damage,Skade,Umonakalo,6.28571428571429,Positif,Mot,Damage,Skade
Dinyoka,Sentence,sentence,Sin,Jezisa,6.42857142857143,Positif,Mot,Sentence,Sin
Dinyunguluka,Tour,round,Toring,-Yingiliza,6.57142857142857,Positif,Mot,Round,Rond
Diondoka,Profond,deep,Diep,-Julile,6.71428571428572,Positif,Mot,Deep,Diep
Dipa,Don,Don,Geskenk,Donne,4.0,Positif,Mot,Don,Don
Dipa dia luse,Don de grâce,,Geskenk van Genade,Isipho Somusa,4.0,Positif,Mot,Gift of grace,Gawe van genade
Dipambuisha,Séduction,seduction,Verleiding,Ukuhlenga,4.0,Positif,Mot,Seduction,Verleiding
Dipambuka,Égarement,misguidance,Afwyking,Okokugwemakaza,4.0,Positif,Mot,Disorientation,Disoriëntasie
Dipandulula,Division,division,Verdeeldheid,Isabelo,4.0,Positif,Mot,Division,Afdeling
Dipanga dia kudikanda,Incontinence,incontinence,Inkontinensie,Ukungabaza,4.0,Positif,Mot,Incontinence,Inkontinensie
Dipanga dikuatshisha,Inutilité,uselessness,Nutteloosheid,Ukungabi nalusizo,4.0,Positif,Mot,Uselessness,Nutteloosheid
Dipanga dinyanguka,Incorruptibilité,incorruptibility,Onkreukbaarheid,Ukulimaza ingozi,4.0,Positif,Mot,Incorruptibility,Onkreukbaarheid
Dipangadija,"Opinion, Propos",,Opinie Doel,"Umbono, ubeke amazwana",4.0,Positif,Mot,"Opinion, Remarks","Mening, Opmerkings"
Dipatuka,Sortie,exit,Uitgang,Phuma,4.0,Positif,Mot,Exit,Uitgang
Dipeta,Acquisition,acquisition,Verkryging,Okutholakele,4.0,Positif,Mot,Acquisition,Verkryging
Dipetu,IgMotinie,igmotinia,IgMotinie,Igmotinie,4.0,Negatif,Mot,IgMotinie,IgMotinie
Dipikula,Délivrance,deliverance,Verlossing,Ukukhululwa,0.0,Neutre,Mot,Deliverance,Verlossing
Dipila,Condamnation,conviction,Veroordeling,Isigwebo,4.0,Positif,Mot,Conviction,Veroordeling
