CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
Dibulu,Masse,mass,Keppel,Okuninginingi,5.0,Positif,Mot,Mass
Dibuluibua,Révélation,revelation,Openbaring,Ukwazisa,5.1047619047619,Positif,Mot,Revelation
Dibungama,"Défait, Regret",,"Nederlaag, Spyt","Ahluliwe, asole",5.25119047619047,Positif,Mot,"Defeated, Regret"
Dibungi,Nuage,cloud,Wolk,Amafu,5.39761904761904,Positif,Mot,Cloud
Dibungibungi,Vapeur,steam,Damp,Isitimu,5.54404761904761,Positif,Mot,Steam
Dibutuka,Désolation,desolation,Verlatenheid,Ukuncithakalo,5.69047619047619,Positif,Mot,Desolation
Didia dia disanka,Festin,feast,Fees,Idili,5.83690476190476,Positif,Mot,Feast
Didianjila,Avance,advance,Vooruitgang,Sondela,5.98333333333333,Positif,Mot,Advance
Didianjila kukosa bualu mu mutshima,Préférence,preference,Voorkeur,Ukuqoka,6.1297619047619,Positif,Mot,Preference
Didianjila kumanya,Préconnaissance,foreknowledge,Voorkennis,Ukuhlukanisela izinhlanga,6.27619047619047,Positif,Mot,Prior knowledge
Didibingisha,Excuse,excuse,Verskoning,Xolela,6.42261904761904,Positif,Mot,Excuse
Dididishi,Fenêtre,window,Venster,Iwindi,0.0,Neutre,Mot,Window
Didikanda,Tempérance,temperance,Matigheid,Ukugxila,6.71547619047619,Positif,Mot,Temperance
"Didimuisha, dilongesha, kalasa",Discipline,discipline,Dissipline,Imfundiso yokulalela,6.86190476190476,Positif,Mot,Discipline
Didinga,Fraude,fraud,Bedrog,Ubuwanqa,7.00833333333333,Positif,Mot,Fraud
Didisankisha,Satisfaction,satisfaction,Tevredenheid,Ukugculiseka,7.1547619047619,Positif,Mot,Satisfaction
Didisua; diambu,Orgueil,pride,Trots,Ukuziqhenya,7.30119047619047,Positif,Mot,Pride
Didiunda,Croissance,growth,Groei,Ukundlondlobala,7.44761904761904,Positif,Mot,Growth
Didiundisha,Avancement,advancement,Vordering,Ukuqhubekela phambili,7.59404761904761,Positif,Mot,Advancement
Dieba,Aiguillon,sting,Angel,Tinyela,-3.0,Neutre,Mot,Sting
Diedibua dia manyi,Onction,anointing,Salwing,Ukugcotshwa,3.0,Positif,Mot,Anointing
Dienza,Opérant,operating,Operasie,Osebenzayo,4.0,Positif,Mot,Operating
Dienzeja dia dipambuka,Énergie d'erreur,,Energie van dwaling,Amandla ephutha,-6.0,Negatif,Mot,Error energy
Dienzejibua ku bukole,Contrainte,constraint,Beperking,Ingxabano,0.0,Positif,Mot,Constraint
Difika dia munda,Courroux,wrath,Woede,Ukuthukusana,5.0,Positif,Mot,Wrath
Difikisha munda,Irritation,irritation,Irritasie,Ukucunula,7.0,Positif,Mot,Irritation
Difu,Estomac,stomach,Maag,Isisu,5.0,Positif,Mot,Stomach
Difuma,Lance,spear,Spies,Izala,5.0,Positif,Mot,Spear
Difutu,Dépens,costs,Uitgawe,Izindleko,5.0,Positif,Mot,Expenses
Dikenga,Tribulation,tribulation,Verdrukking,Usizi,5.0,Positif,Mot,Tribulation
Dikenga,Détresse,distress,Nood,Usizi,-1.0,Negatif,Mot,Distress
Dikenga dia bintu,Privation,deprivation,Ontbering,Ukwehliswa,5.0,Positif,Mot,Deprivation
Dikengeshibua,Oppression,oppression,Onderdrukking,Ukuhlupheka,5.0,Positif,Mot,Oppression
Dikenke,Éclat,glow,Helderheid,Nkemuzela,5.0,Positif,Mot,Glow
Dikima,Assurance,insurance,Versekering,Umshwalense,5.0,Positif,Mot,Insurance
Dikisha,Repos,rest,Rus,Thulisa,5.0,Positif,Mot,Rest
Dikolesha,Exercer,exercise,Oefening,Vocavoca,5.0,Positif,Mot,Exercise
Dikonka,Question,question,Vraag,Buza,5.0,Positif,Mot,Question
Dikuatshisha,Contribution,contribution,Bydrae,Isethulo,5.0,Positif,Mot,Contribution
Dikuatshishangana,Fournissement,supply,Voorsiening,Phakela,5.0,Positif,Mot,Supply
Dikudimuka,Variation,variation,Variasie,Ukuphenduka,5.0,Positif,Mot,Variation
Dikudimuna,Changement,change,Verandering,Phendula,5.0,Positif,Mot,Change
Dikudimuna dia mutshima,Repentance,repentance,Bekering,Ukuphenduka,5.0,Positif,Verbe,Repentance
Dikuma dia mutshima bipeta mu njila mibi,Avide d'un gain honteux,,Gulsig vir skandelike wins,Ukuhaha inzuzo eyihlazo,5.0,Positif,Mot,Greedy for shameful gain
Dikuma dia mutshima ku biuma,Avarice,avarice,Gierigheid,Iphazazela,5.0,Positif,Mot,Avarice
Dikumbana,Accomplissement,accomplishment,Prestasie,Ubungcweti,4.0,Positif,Mot,Achievement
Dikumi,Dix,ten,Tien,Ishumi,10.0,Positif,Nombre,Ten
Dikumi ne binayi,Quatorze,fourteen,Veertien,Ishumi nane,8.0,Positif,Nombre,Fourteen
Dikumi ne ibidi,Douze,twelve,Twaalf,Ishumi nambili,8.0,Positif,Nombre,Twelve
Dikumi ne itanu,Quinze,fifteen,Vyftien,Ishumi nanhlanu,8.0,Positif,Nombre,Fifteen
Dikumi ne muanda mukulu,Dix-huit,eighteen,Agtien,Ishumi nesishayagalombili,6.0,Positif,Nombre,Eighteen
Dikumi ne umue,"Onze, Onzième",,"Elf, Elfde","Eleven, Eleventh",6.0,Positif,Nombre,"Eleven, Eleventh"
Dikunji,Colonne,column,Kolom,Insika,6.0,Positif,Mot,Column
Dikunyibua,Implanté,implanted,Ingeplant,-Yisimukisa,6.0,Positif,Mot,Implanted
Dikunza,Roux,,Rooi,-Bhebhe kahle,6.0,Positif,mm,Redhead
Dikuta,Monnaie,cash,Geld,Ukheshi,6.0,Positif,Mot,Cash
Dikuta dikese,Sou,penny,Sop,Ubuhlanga,6.0,Positif,Mot,Sou
Diledibua kua tshiakabidi,Régénération,regeneration,Regenerasie,Ukunyusa kabusha,6.0,Positif,Mot,Regeneration
Dileja dia mampa,Propositions des pains,,Broodvoorstelle,Iziphakamiso zesinkwa,2.0,Positif,Mot,Bread suggestions
Dileja tshilema,Reproche,reproach,Verwyt,Ngqonhlamvu,8.0,Positif,Mot,Reproach
"Dilelela, tshidi tshia kueyemenyibua",Certain,certain,Seker,-Azi kahle,6.0,Positif,Mot,Certain
Dilengeja,Purification,purification,Suiwering,Ukuhlambululela,5.0,Positif,Mot,Purification
Dilengejibua,Perfection,perfection,Volmaaktheid,Ukuphelela du,5.0,Positif,Mot,Perfection
Dilengesha,Parure,adornment,Versiering,Ukuhlobisa,5.0,Positif,Mot,Jewelry
Dileta,Lettre,letter,Brief,Uhlamvu lokulandelana kwamagama,5.0,Positif,Mot,Letter
Diloba,Pêche,fishing,Visvang,Ukufakaza,5.0,Positif,Mot,Fishing
Dilobo,Port,port,Hawe,Itheku,5.0,Positif,Mot,Port
Dilolo,Soir,evening,Aand,Kusihlwa,5.0,Positif,Mot,Evening
Dilomba,Demande,request,Versoek,Nxusa,7.0,Positif,Mot,Request
Dilondolola dia ndelanganyi,Généalogie,genealogy,Genealogie,Kohluzo,7.0,Positif,Mot,Genealogy
Dilonga,Bassin,basin,Bekken,Indishi,5.0,Positif,Mot,Basin
Dilonga (dialabale),Plat,flat,Skot,Caba,5.0,Positif,Mot,Flat
Dilongesha,Enseignement,education,Onderrig,Imfundo,5.0,Positif,Verbe,Education
Dilongolola,Préparation,preparation,Voorbereiding,Amalungiselelo,4.0,Positif,Verbe,Preparation
Dilua,Arrivée,arrival,Aankoms,Ukufika,1.0,Positif,Mot,Arrival
Diluangana,Lutte,struggle,Stryd,Umshikashika,2.0,Positif,Mot,Struggle
Dilubakana,Embarras,embarrassment,Verleentheid,Ukuphoxeka,3.0,Positif,Verbe,Embarrassment
Dilulama,Droiture,righteousness,Opregtheid,Ukulunga,4.0,Positif,Verbe,Righteousness
Dilumbuluisha,Jugement,judgement,Oordeel,Isahlulelo,1.0,Positif,Mot,Judgement
Dima,Argile,clay,Klei,Ubumba,2.0,Positif,Mot,Clay
Dimanya,Savoir,know,Kennis,Bona,3.0,Positif,Mot,Know
"Dimanya, lungenyi",Connaissance,awareness,Kennis,Ukuzwa,2.85714285714286,Positif,Mot,Awareness
Dimanyisha,Information,information,Inligting,Ulwazi,3.0,Positif,Mot,Information
Dimiamina,Aspersion,aspersion,Besprinkeling,Ukudabula,3.14285714285715,Positif,Mot,Aspersion
Diminu,Semence,seed,Saad,Inhlwanyelo,3.28571428571429,Positif,Mot,Seed
Dimoma,Rouille,rust,Roes,Ukugqwala,3.42857142857143,Positif,Mot,Rust
Dimueneka,Apparition,appearance,Voorkoms,Ukubonakala,3.57142857142857,Positif,Mot,Appearance
Dimuenesha,Démonstration,demonstration,Demonstrasie,Isibonakaliso,3.71428571428572,Positif,Mot,Demonstration
Dina,Fos,fos,Fos,Ukuphambuza,3.85714285714286,Positif,Mot,Fos
Dina dia mayi,Fontaine,fountain,Fontein,Isisuko,4.0,Positif,Mot,Fountain
Dinanga,Amour,love,Liefde,Thanda,4.14285714285715,Positif,Mot,Love
Dinanga,Affection,affection,Geneentheid,Uthando,4.28571428571429,Positif,Mot,Affection
Dinanukila,Persévérer,persevere,Volhard,Phikelela,4.42857142857143,Positif,Mot,Persevere
Dinda,Matin,Morning,Oggend,Ekuseni,4.57142857142857,Positif,Mot,Morning
Dinda,Point du jour,,Dagbreek,Iphuzu losuku,4.71428571428572,Positif,Mot,Daybreak
Dinemekela,Révérence,reverence,Eerbied,Ukuhlonipha,4.85714285714286,Positif,Mot,Reverence
Dinkenke,Splendeur,splendor,Prag,Ubukhazikhazi,5.0,Positif,Mot,Splendor
Dinowa,Moisson,harvest,Oes,Okuvuniweyo,5.14285714285715,Positif,Mot,Harvest
Dinu,Dent,tooth,Tand,Izinyo,5.28571428571429,Positif,Mot,Tooth
Dinua,Boire,drink,Drank,Phuza,5.42857142857143,Positif,Mot,Drink
Dinunganyi,Rumeur,rumor,Gerug,Inzwabethi,5.57142857142857,Positif,Mot,Rumor
Dinungu,Jointure,joint,Gewrig,Xhuma,5.71428571428572,Positif,Mot,Joint
"Dinvuenkenya, Lupuishi",Poussière,dust,Stof,Uthuli,5.85714285714286,Positif,Mot,Dust
Dinyanguka,Corruption,corruption,Korrupsie,Ukonakala,6.0,Positif,Mot,Corruption
Dinyanguka dia moyo,Dissolution,dissolution,Ontbinding,Ukucacisa,6.14285714285715,Positif,Mot,Dissolution
Dinyanguta,Avarie,damage,Skade,Umonakalo,6.28571428571429,Positif,Mot,Damage
Dinyoka,Sentence,sentence,Sin,Jezisa,6.42857142857143,Positif,Mot,Sentence
Dinyunguluka,Tour,round,Toring,-Yingiliza,6.57142857142857,Positif,Mot,Round
Diondoka,Profond,deep,Diep,-Julile,6.71428571428572,Positif,Mot,Deep
Dipa,Don,Don,Geskenk,Donne,4.0,Positif,Mot,Don
Dipa dia luse,Don de grâce,,Geskenk van Genade,Isipho Somusa,4.0,Positif,Mot,Gift of grace
Dipambuisha,Séduction,seduction,Verleiding,Ukuhlenga,4.0,Positif,Mot,Seduction
Dipambuka,Égarement,misguidance,Afwyking,Okokugwemakaza,4.0,Positif,Mot,Disorientation
Dipandulula,Division,division,Verdeeldheid,Isabelo,4.0,Positif,Mot,Division
Dipanga dia kudikanda,Incontinence,incontinence,Inkontinensie,Ukungabaza,4.0,Positif,Mot,Incontinence
Dipanga dikuatshisha,Inutilité,uselessness,Nutteloosheid,Ukungabi nalusizo,4.0,Positif,Mot,Uselessness
Dipanga dinyanguka,Incorruptibilité,incorruptibility,Onkreukbaarheid,Ukulimaza ingozi,4.0,Positif,Mot,Incorruptibility
Dipangadija,"Opinion, Propos",,Opinie Doel,"Umbono, ubeke amazwana",4.0,Positif,Mot,"Opinion, Remarks"
Dipatuka,Sortie,exit,Uitgang,Phuma,4.0,Positif,Mot,Exit
Dipeta,Acquisition,acquisition,Verkryging,Okutholakele,4.0,Positif,Mot,Acquisition
Dipetu,IgMotinie,igmotinia,IgMotinie,Igmotinie,4.0,Negatif,Mot,IgMotinie
Dipikula,Délivrance,deliverance,Verlossing,Ukukhululwa,0.0,Neutre,Mot,Deliverance
Dipila,Condamnation,conviction,Veroordeling,Isigwebo,4.0,Positif,Mot,Conviction
"Dipingana, dipingaja",Retour,back,Terugkeer,-Dlulile,4.0,Positif,Mot,Back
Dipita,Victoire,victory,Oorwinning,Ukwahlula,4.0,Positif,Mot,Victory
Dipumbisha,Obstacle,obstacle,Hindernis,Isiphazamiso,4.0,Positif,Mot,Obstacle
Dipumbishibua,Absence,absence,Afwesigheid,Ukungabibikho,4.0,Positif,Mot,Absence
Dipunga diyi,Consentement mutuel,,Wedersydse Toestemming,Imvume yokuhlangana,4.0,Positif,Mot,Mutual consent
Dipungi,Fatigue,fatigue,Moegheid,Ukudinwa,4.0,Positif,Mot,Fatigue
Dipuyakana,Respiration,breathing,Asemhaling,Ukuphefumula,4.0,Positif,Mot,Breathing
Disakidila,Gratitude,gratitude,Dankbaarheid,Ukubonga,4.0,Positif,Mot,Gratitude
Disalayi,Satellite,satellite,Satelliet,Imvoko,4.0,Positif,Mot,Satellite
Disalayi dilami dia tshitudilu,Préfet du prétoire,,Praetoriaanse Prefek,PREETORIAN PERCECT,4.0,Positif,Mot,Prefect of the Praetorian Guard
Disama,Maladie,disease,Siekte,Isifo,4.0,Positif,Mot,Disease
Disama dia mashi apatuka,Flux,flow,Vloei,Thuntululeka,4.0,Positif,Mot,Flow
Disama dia mubidi kapia,Fièvre,fever,Koors,Imfiva,4.0,Positif,Mot,Fever
Disambakana,Rencontre,encounter,Vergadering,Hlangana,4.0,Positif,Mot,Encounter
Disambi,Consolation,consolation,Troosting,Iduta,4.0,Positif,Mot,Consolation
Disangisha,Rassemblement,gathering,Versameling,Idili,4.0,Positif,Mot,Gathering
Disangisha dia bintu,Collecte,collection,Versamel,Izinto ezibuthelwe ndawonye,4.0,Positif,Mot,Collection
Disanka,Béatitude,bliss,Geluk,Ubumnandi,4.0,Positif,Mot,Bliss
Disanka ,Heureux,happy,Gelukkig,-Thokozile,4.0,Positif,Mot,Happy
Disanka,Joyeusement,happily,Vreugdevol,-Nengelo,4.0,Positif,Mot,Joyfully
Disanka dia muoyo,Volupté,voluptuousness,Welligheid,Ukuzinikela,4.0,Positif,Mot,Pleasure
Disanka dinene,Transport,transportation,Vervoer,Ukuthutha,4.0,Positif,Mot,Transportation
Disele,Roseau,reed,Riet,Umnyathi,4.0,Positif,Mot,Reed
Disengelela,Supplication,supplication,Smeking,Ukunxusa,5.0,Positif,Mot,Supplication
Dishima,Mensonge,lie,Leuen,Ginqika,5.0,Negatif,Mot,Lie
Dishimbuka,Ruine,ruin,Ruïne,Ingqile incithakalikayo,4.0,Negatif,Mot,Ruin
Dishiya,Rive,shore,Kus,Ugu,0.0,Neutre,Mot,Shore
Disolayi,Soldat,soldier,Soldaat,Ibutho,0.0,Neutre,Mot,Soldier
Disombuela,Vengeance,revenge,Wraak,Ukuphindisela,5.0,Positif,Mot,Revenge
Disoso,Déchirure,tear,Traan,Ukudabula,4.0,Positif,Mot,Tear
Disu,Œil,eye,Oog,Ihlo,4.0,Positif,Mot,Eye
Disu,Trou,hole,Gat,Umgodi,5.0,Positif,Mot,Hole
Disua,Souhait,wish,Wens,Fisa,5.0,Positif,Mot,Wish
Disua,Volonté,will,Wil,Isifiso,4.77272727272727,Positif,Mot,Will
Disumakaja,Grincement,creaking,Slyp,Ntswininiza,4.81468531468532,Positif,Mot,Squeaking
Disuminyina,Activité,activity,Aktiwiteit,Ukukhuthala,4.85664335664336,Positif,Mot,Activity
Disungula,Choix,choice,Keuse,Ukukhetha,4.8986013986014,Positif,Mot,Choice
Disunsula,Détail,detail,Detail,Umniningwane,4.94055944055944,Positif,Mot,Detail
Ditabala,Recouvrement,recovery,Herstel,Ukululama,4.98251748251748,Positif,Mot,Recovery
Ditabuja,Réception,reception,Ontvangs,Ihhovisi elamukela izivakashi ehhotela,5.02447552447553,Positif,Mot,Reception
Ditabuja,Foi,faith,Geloof,Ukholo,5.06643356643357,Positif,Mot,Faith
Ditabuja dikese,Petite foi,,Klein Geloof,Little Faith,5.10839160839161,Positif,Mot,Little faith
Ditabujija,Perte,loss,Verlies,Ukulahlekelwa,5.15034965034965,Positif,Mot,Loss
Ditalala,Tranquillité,tranquility,Rustigte,Ukuthula,5.19230769230769,Positif,Mot,Tranquility
Ditama,Joue,plays,Speel,Idlala,5.23426573426573,Positif,Mot,Plays
Ditamba,Avantage,advantage,Voordeel,Imbuyiselo,4.0,Positif,Mot,Advantage
Ditamba dia mutshi,Sarment,vine shoot,Tak,Ubuhlanya,4.0,Positif,Mot,Sarment
Ditamba,Triomphe,triumph,Triomf,Ngokunqoba,3.0,Positif,Mot,Triumph
Ditangila,Visitation,visitation,Besoek,Ukuhanjelwa,3.0,Positif,Mot,Visitation
Ditapuluka,Intrigue,plot,Plot,Isakhiwo sendaba,3.0,Positif,Mot,Plot
Ditapulula,Différence,difference,Verskil,Umahluko,3.0,Positif,Mot,Difference
Ditatshisha,Importunité,importunity,Aandringendheid,Ukwelulwa kwabahli,4.0,Positif,Mot,Importunity
Ditekemena,Espérance,hope,Hoop,Ithemba,4.0,Positif,Mot,Hope
Ditendelela,Culte,worship,Aanbidding,Dumisa,4.0,Positif,Mot,Worship
Ditengula,Circoncision,circumcision,Besnydenis,Ukusoka,5.0,Positif,Mot,Circumcision
"Ditengula, divula",Dépouillement,counting,Streeping,Ukubalwa,5.0,Positif,Verbe,Counting
Ditentekesha dia bianza,Imposition des mains,,Handoplegging,Ukulala izandla,5.0,Positif,Mot,Laying on of hands
Diteta,Épreuve,test,Beproewing,Ukuzama,5.0,Positif,Mot,Test
Ditoka dikole,Blancheur,whiteness,Witheid,Ubumsulwa,4.0,Positif,Mot,Whiteness
Ditomboka,Sédition,sedition,Opstandigheid,Ukubangela,5.0,Positif,Mot,Sedition
Ditombokela,Apostasie,apostasy,Afvalligheid,Ukuphuza kakhulu,4.0,Positif,Mot,Apostasy
"Ditonda, dikula",Confession,confession,Belydenis,Ukuvuma,4.0,Positif,Verbe,Confession
Ditontolola,Contradiction,contradiction,Teenspraak,Ukuphikisa,4.0,Positif,Mot,Contradiction
Ditshina,Persécuter,persecute,Vervolging,Nqamuleza,0.0,Negatif,Mot,Persecute
Ditshiu,Oreille,ear,Oor,Indlebe,0.0,Neutre,Mot,Ear
Ditu,Forêt,forest,Woud,Ihlathi,4.0,Positif,Mot,Forest
Ditua ,Tranchant,sharp,Skerp,-Bukhali,4.0,Positif,Mot,Sharp
Ditua mikemu,Gémissement,groan,Geweeklaag,Ukugquma,0.0,Neutre,Mot,Groan
Dituaya,Tablier,apron,Voorskoot,Iphinifa,0.0,Negatif,Mot,Apron
Dituayi,Mouchoir,handkerchief,Sakdoek,Ihengeshi,0.0,Negatif,Mot,Handkerchief
Ditubula,Pénétrant ,penetrating,Deurdringend,Ukungeniswa,5.0,Neutre,Mot,Penetrating 
Dituku,Jour,day,Dag,Usuku,5.0,Neutre,Mot,Day
Dituku dia Diledibua,Anniversaire de naissance,,Verjaarsdag,Usuku lokuzalwa,5.0,Positif,Mot,Birthday
Dituku dia disanka,Fête,party,Fees,Inhlangano,5.0,Positif,Mot,Party
Dituku dia Mukelenge,Jour du Seigneur,,Sonsdag,Usuku LeNkosi,4.0,Negatif,Mot,Lord&#39;s Day
Ditumbisha,Louange,praise,Lofprysing,Dumisa,0.0,Neutre,Mot,Praise
Ditumikila,Obéissance,obedience,Gehoorsaamheid,Ukuzwa,4.0,Positif,Mot,Obedience
Ditupakana,Ignorance,ignorance,Onkunde,Ukungazi,0.0,Neutre,Mot,Ignorance
Ditutu,Nuée,cloud,Wolk,Amafu,0.0,Neutre,Mot,Cloud
Diulu,Ciel,sky,Hemel,Isibhakabhaka,5.0,Positif,Mot,Sky
Diumusha,Enlèvement,kidnapping,Wegraping,Ukuthwala,4.0,Negatif,Mot,Kidnapping
Diumusha mu ditunga dia bantu kuya nabu mu ditunga dikuabu,Transportation,transportation,Vervoer,Ukuthutha,0.0,Neutre,Mot,Transportation
Diunvuika,Retentissant,resounding,Draaiende,-Ndumisa,5.0,Neutre,Mot,Resounding
Divulangana,Débordement,overflow,Oorvloeiende,Phuphuma,6.0,Positif,Mot,Overflow
Divuluka,Souvenir,memory,Herinnering,Ukukhumbula,4.0,Positif,Mot,Memory
Divundulula,Mouvement,movement,Beweging,Ukuzamazama,5.0,Positif,Mot,Movement
Diya,Départ,departure,Vertrek,Ukuhamba,4.0,Neutre,Mot,Departure
Diyi,Commission,commission,Opdrag,Amandla okwenza,4.0,Positif,Mot,Commission
Diyi,Message,message,Boodskap,Izwi elithunyelweyo,5.0,Positif,Mot,Message
Diyi dimue,Accord,agreement,Ooreenkoms,Isivumelwano,5.0,Positif,Mot,Agreement
Diyisha,Instruction,instruction,Instruksie,Ukufundisa,6.0,Positif,Mot,Instruction
Diyisha,Doctrine,doctrine,Leerstelling,Imfundiso,0.0,Neutre,Mot,Doctrine
Diyoyi,Clameur,clamor,Geroep,Umkhumbi wakhomba,0.0,Neutre,Mot,Clamor
Diyoyo,Crierie,auction house,Skreeu,Imfihlo,0.0,Neutre,Mot,Crying
Diyoyo,Confusion,confusion,Verwarring,Isidididi,5.0,Positif,Mot,Confusion
Diyu,Œuf,egg,Eier,Iqanda,5.0,Positif,Mot,Egg
mushindu,categorie ,category,kategorie,uhlobo,8.0,Positif,Mot,category 
dishindike,catégorique,categorical,kategories,-qanjululekile,9.0,Positif,Mot,categorical
kushindika,categoriquement,categorically,kategories,ngokwezigaba,7.0,Positif,Mot,categorically
kubenga,refuser,refuse,weier,ala,0.0,Neutre,Mot,refuse
nzubu,cathédrale,cathedral,katedraal,enesihlalo somBhishoshi,4.0,Positif,Mot,cathedral
katolike,catholiscisme,Catholicism,Katolisisme,UbuKatolika,3.0,Neutre,Mot,Catholicism
ekleziya wa bantu bonso,catholicité,catholicity,Katolisiteit,Mocatority,0.0,Neutre,Mot,Catholicism
mukatolike,catholique,Catholic,Katoliek,IKhatholika,3.0,Positif,Mot,Catholic
bulondeshile,catholiquement,Catholically,Katoliek,iKhatholika,0.0,Neutre,Mot,Catholic
musokoko,catimini,on the sly,Sluwe,ku-sly,0.0,Neutre,Mot,secretly
takanangana,cauchemar,nightmare,Nagmerrie,iphupho elesabisayo,0.0,Neutre,Mot,nightmare
mukila/tshipepe,caudal,caudal,Steuer,caudal,6.0,Positif,Mot,caudal
mubela,cauris,cowrie shells,Kaurie,Ama-Cowries,5.0,Positif,Mot,cowrie shells
kenzela,causal,causal,Oorsaaklik,isengele,5.0,Positif,Mot,causal
dienzeja,causatif ,causative,Oorsaaklik,-selanayo,0.0,Negatif,Mot,causative 
muji,cause,cause,oorsaak,dala,-5.0,Negatif,Mot,cause
kuyukila,causer,cause,oorsaak,dala,8.0,Positif,Mot,cause
diyuki,causerie,chat,gesels,ukuxoxa,7.0,Positif,Mot,chat
kayuki,causette,chat,babbelaar,ukuxoxa,2.0,Neutre,Mot,chat
mpiompia,causeur,talker,babbelaar,oxoxa ngokuxoxa,6.0,Positif,Mot,talkative
di-osha,caustique,caustic,bytend,caostic,7.0,Positif,Mot,caustic
mbabi,cauteleux,cautious,versigtig,-nobuthuzi,5.0,Positif,Mot,cautious
tshiamu,cautere,cautery,brandbaar,I-CAUTELY,4.0,Positif,Mot,cautery
kuosha,cauteriser,cauterize,brandbaar,nqaba,0.0,Neutre,Mot,cauterize
tshieya,caution,deposit,versigtigheid,faka,-6.0,Negatif,Mot,caution
kufila,cautionner,to guarantee,versigtigheid,loba igama emuva kwesheke,6.0,Positif,Mot,endorse
tshisumbu,cavalcade,cavalcade,kavalkade,cavalcade,8.0,Positif,Mot,cavalcade
basola/babandi,cavalerie,cavalry,kavallerie,amasosha agibeleyo,-5.0,Negatif,Mot,cavalry
mubandi,cavalier,rider,ruiter,umgibeli,6.0,Positif,Mot,rider
tshikamakama,cavalierement,cavalierly,ruiterlik,iphoyisa,9.0,Positif,Mot,cavalier
buina,cave,cellar,grot,sela,8.0,Positif,Mot,cellar
ngomba,caveau,vault,grotspelonk,indlu eyisisefo esikhulu,7.0,Positif,Verbe,vault
kutonkona,caver,cave,grotspeler,umhume,5.0,Positif,Mot,caver
lubinga,caverne,cave,grot,umhume,6.0,Positif,Mot,cave
nyongolo,caverneux,cavernous,grotspelonkagtig,-qhuba ngasobala,8.0,Positif,Mot,cavernous
mpoko,cavite,cavity,holte,imbobo,9.0,Positif,Mot,cavity
etshi, ceci,this,hierdie,leli,7.0,Positif,Mot, this
bufufu,cecite,blindness,hierdie,ubumpumputhe,0.0,Neutre,Mot,blindness
kulekelela,ceder,to sell,stuur af,ukuthengisa,0.0,Neutre,Mot,to sell
kanyoka,cedukke,cedukke,stuur af,cedukke,-4.0,Negatif,Mot,cedukke
kujinga,ceindre,to gird,gordel,bhince,0.0,Neutre,Mot,belt
mukaba,ceinture,belt,gordel,isibhamba,-3.0,Negatif,Mot,belt
tshimono,hanche,hip,heup,inqulu,-8.0,Negatif,Mot,hip
kuvuadika,ceinturer,belt,gordel,isibhamba,-7.0,Negatif,Mot,belt
mukaba,ceinturon,belt,gordel,isibhamba,-6.0,Negatif,Mot,belt
atshio,cela,that,daardie,leyo,4.0,Positif,Mot,that
tshiatshia,éloigné,distant,ver,-buqamama,0.0,Neutre,Mot,distant
difuka,célébrant,celebrant,vier,gumela,5.0,Positif,Mot,celebrating
kutumbe,célébre,famous,vier,-dumile,7.0,Positif,Mot,famous
kutumbisha,célébrer,celebrate,bekendheid,gubha,9.0,Positif,Mot,celebrate
katumbi,célébrité,celebrity,vier,ubizo,-6.0,Negatif,Mot,celebrity
kusokoka,celer,celer,spoed,isinye noma noma,-7.0,Negatif,Mot,conceal
lubilu,célérité,speed,hemelse,isibeletho,-5.0,Negatif,Mot,speed
mudiulu,céleste,celestial,selibaat,-bukeyela basezulwini,-7.0,Negatif,Mot,celestial
bujike,célibat,celibacy,enkel,ubumpohlo,-6.0,Negatif,Mot,celibacy
mujike,célibataire,Single,kelder,-Nye zwi,8.0,Positif,Mot,Single
mulami,céllérier,cellarer,kelder,sela,0.0,Neutre,Mot,cellar
tshilaminu,cellier,cellar,kelder,sela,4.0,Positif,Mot,cellar
kabambalu,cellule,cell,kelder,iseli,6.0,Positif,Mot,cell
ewu,celui,the one,dat,Iyona yodwa,-8.0,Negatif,Mot,the one
ewu,celle,that,dat,leyo,9.0,Positif,Mot,that
aba,ceux,those,daardie,lezo,-9.0,Negatif,Mot,those
aba,celles ,those,daardie,lezo,5.0,Positif,Mot,those 
mema,moi,Me,my,Mina,9.0,Positif,Mot,Me
butu,cendre,ash,as,umlotha,-6.0,Negatif,Mot,ash
kushidisha,calciner,to calcine,kalsie,uhlobo lwekhashi,-4.0,Negatif,Mot,to burn
tshiabutu,cendrier ,ashtray,asbak,isitsha somlotha kagwayi,6.0,Positif,Mot,ashtray 
didia,cène,last supper,aandete,ukudla kwakusihlwa,-5.0,Negatif,Mot,Last Supper
mudiambike,cénobite,cenobite,senobiet,isizwe,4.0,Positif,Mot,cenobite
lukita luibaka,cénotaphe,cenotaph,senotaaf,cenotaph,8.0,Positif,Mot,cenotaph
manya,censé,supposed,veronderstel,-catshalwa,0.0,Neutre,Mot,supposed
mutaludi,censeur,censor,sensor,Cencer,0.0,Neutre,Mot,censor
didiwula/diteta,censure,censorship,sensorskap,ukucwaninga,-8.0,Negatif,Mot,censorship
kuteta,censurer,censor,sensor,Cencer,-3.0,Negatif,Mot,censor
lukama,cent,hundred,honderd,ikhulu,-5.0,Negatif,Mot,hundred
lukama,centaine,hundred,honderd,ikhulu,5.0,Positif,Mot,hundred
mubuabua,chacal,jackal,jakkals,ugwasi,8.0,Positif,Mot,jackal
