CILUBA,French,Afrikaans,Score,Sentiment,Nature,English_Translation
Kueyemena,Se confier,Vertroue,4.0,Positif,Verbe,To confide in someone
Kushikama,Séant,Sittende,0.0,Neutre,Verbe,Seat
Tshume,Sec,Droog,-2.0,Negatif,Mot,Dry
Tshiume,Sec,Droog,-2.0,Negatif,Mot,Dry
Kufubidila,Sec,Droog,-3.0,Negatif,Verbe,Dry
Kufubidisha,Sécher,Tweede,-3.0,Negatif,Verbe,Dry
Muibidi,Second,Skud,0.0,Neutre,Mot,Second
Kusekenkesha,Secouer,Skud,0.0,Neutre,Verbe,Shake
Kunyukula,Secouer,Redding,0.0,Neutre,Verbe,Shake
Kukuatshisha,Secourir,Redding,6.0,Positif,Verbe,Rescue
Kuambuluisha,Secourir,Redding,6.0,Positif,Verbe,Rescue
Dikuatshisha,Secours,Redding,6.0,Positif,Mot,Rescue
Diambuluisha,Secours,Geheim,6.0,Positif,Mot,Rescue
Musokome,Secret,Geheim,-1.0,Negatif,Mot,Secret
Musokoko,Secret,Geheim,-1.0,Negatif,Mot,Secret
Mufundi,Secrétaire,Sekretaris,0.0,Neutre,Mot,Secretary
Mu musokoko,Secrètement,Geheimlik,-1.0,Negatif,Mot,Secretly
Kasumbu,Secte,Sekte,-7.0,Negatif,Mot,Sect
Ditomboka,Sédition,Opstand,-8.0,Negatif,Mot,Sedition
Tshinvundu,Sédition,Opstanding,-8.0,Negatif,Mot,Sedition
Mupambuishi,Séducteur,Verleier,-6.0,Negatif,Mot,Seducer
Muena mashimi,Séducteur,Verleier,-6.0,Negatif,Mot,Seducer
Dipambuisha,Séduction,Verleiding,-6.0,Negatif,Mot,Seduction
Budimu,Séduction,Verleiding,-6.0,Negatif,Mot,Seduction
Kudinga,Séduire,Verlei,-6.0,Negatif,Verbe,Seduce
Kutentula,Séduire,Verlei,-6.0,Negatif,Verbe,Seduce
Bukelenge,Seignerie,Heerskap,3.0,Positif,Mot,Lordship
Bukokeshi,Seignerie,Heerskap,3.0,Positif,Mot,Lordship
Mukelenge,Seigneur,Heerskap,7.0,Positif,Mot,Lord
Kapamba,Seine,Seine,0.0,Neutre,Mot,Seine
Matuku,Séjour,Bly,0.0,Neutre,Mot,Stay
Masomba,Séjour,Bly,0.0,Neutre,Mot,Stay
Kushikama,Séjourner,Bly,0.0,Neutre,Verbe,Stay
Kushala,Séjourner,Bly,0.0,Neutre,Verbe,Stay
Luepu,Sel,Sout,0.0,Neutre,Mot,Salt
Lumingu,Semaine,Week,0.0,Neutre,Mot,Week
Mufuanangane,Semblable,Soortgelyk,0.0,Neutre,Mot,Similar
Bu mudi,Semblable,Soortgelyk,0.0,Neutre,Mot,Similar
Kuela meji,Sembler,Lyk,0.0,Neutre,Verbe,Seem
Kuikala ne menji,Sembler,Lyk,0.0,Neutre,Verbe,Seem
Diminu,Semence,Saad,2.0,Positif,Mot,Seed
Lumu,Semence,Saad,2.0,Positif,Mot,Seed
Kumiamina,Semer,Saai,1.0,Positif,Verbe,Sowing
Kukuna,Semer,Saai,1.0,Positif,Verbe,Sowing
Mumiaminyi,Semeur,Saaier,1.0,Positif,Mot,Sower
Lungenyi,Sens,Betekenis,2.0,Positif,Mot,Sense
Dinyoka,Sentence,Sin,-6.0,Negatif,Mot,Sentence
Dipila,Sentence,Sin,-6.0,Negatif,Mot,Sentence
Kajila,Sentier,Pad,0.0,Neutre,Mot,Path
Njila,Sentier,Pad,0.0,Neutre,Mot,Path
Menji,Sentiment,Gevoel,1.0,Positif,Mot,Feeling
Kunkunkila,Sentir,Gevoel,-1.0,Negatif,Verbe,Feel
Buakane,Seoir,Sit,1.0,Positif,Verbe,Seoir
Kupandulula,Séparer,Skei,-3.0,Negatif,Verbe,Separate
Kumuka,Séparer,Skei,-2.0,Negatif,Verbe,Separate
Kuya,Séparer,Skei,-1.0,Negatif,Verbe,Separate
Muanda mutekete,Sept,Sewe,0.0,Neutre,Mot,Seven
Majambu,Sépulcre,Graf,-5.0,Negatif,Mot,Sepulcher
Kujika,Sépulture,Grafbeeld,-5.0,Negatif,Verbe,Burial
Mpulushi,Sergent,Sersant,0.0,Neutre,Mot,Sergeant
Mutshipu,Serment,Eed,0.0,Neutre,Mot,Oath
Nyoka,Serpent,Slang,-4.0,Negatif,Mot,Snake
Mutshima munene,Serrement,Styfheid,-2.0,Negatif,Mot,Tightening
Kanyinganyinga,Serrement,Styfheid,-3.0,Negatif,Mot,Tightening
Kunguila,Serrer,Strenger,-1.0,Negatif,Verbe,To squeeze
Mupika mukaji,Servante,Dienskneg,1.0,Positif,Mot,Servant
Mudimu,Service,Diens,2.0,Positif,Mot,Service
Kukuata mudimu,Servir,Dien,2.0,Positif,Verbe,Serve
Mupika,Serviteur,Dienskneg,2.0,Positif,Mot,Servant
Muena mudimu,Serviteur,Dienskneg,2.0,Positif,Mot,Servant
Bupika,Servitude,Serwituut,-3.0,Negatif,Mot,Servitude
Tshisombedi,Siège,Sitplek,0.0,Neutre,Mot,Seat
Kumanyisha,Signifier,Beteken,0.0,Neutre,Verbe,Mean
Kupuwa talala,Silence,Stilte,1.0,Positif,Mot,Silence
Kakuyi mutoyo,Silence,Stilte,0.0,Neutre,Mot,Silence
Lusumuinu,Similitude,Ooreenstemming,0.0,Neutre,Mot,Similarity
Luipi,Similitude,Ooreenstemming,0.0,Neutre,Mot,Similarity
Bupuekele,Simple,Eenvoudig,1.0,Positif,Mot,Simple
Mupote,Simple,Eenvoudig,1.0,Positif,Mot,Simple
Ne bupuekele,Simplicité,Eenvoudigheid,1.0,Positif,Mot,Simplicity
Bulelela,Sincère,Opreg,5.0,Positif,Mot,Sincere
Tshidi ne bulelela,Sincérité,Opregtheid,5.0,Positif,Mot,Sincerity
Muikale Muasa,Situé,Geleë,0.0,Neutre,Mot,Located
Isambo,Six,Ses,0.0,Neutre,Mot,Six
Bupole,Sobre,Nugter,2.0,Positif,Mot,Sober
Bupuekele,Sobre,Nugter,2.0,Positif,Mot,Sober
Bupuekele,Sobrement,Nugter,2.0,Positif,Mot,Simply
Muan'abo mukashi,Soeur,Suster,3.0,Positif,Mot,Sister
Soie,Soie,Sy,0.0,Neutre,Mot,Silk
Nyota,Soif,Dors,-2.0,Negatif,Mot,Thirsty
Bikole,Soigneusement,Versigtig,3.0,Positif,Mot,Thoroughly
Bimpe,Soigneusement,Versigtig,3.0,Positif,Mot,Thoroughly
Kutuala,Soin,Sorg,2.0,Positif,Verbe,Care
Dilolo,Soir,Aand,0.0,Neutre,Mot,Evening
Makumi asambombo,Soixante,Sestig,0.0,Neutre,Nombre,Sixty
Makumi muandamutekete,Soixante-dix,Sewentig,0.0,Neutre,Nombre,Seventy
Makumi muandamutekete ne itanu,Soixante-quinze,Vyf-en-sewentig,0.0,Neutre,Nombre,Seventy-five
Panshi,Sol,Son,0.0,Neutre,Mot,Ground
Disolayi,Soldat,Soldaat,0.0,Neutre,Mot,Soldier
Diba,Soleil,Son,4.0,Positif,Mot,Sun
Diba dia buakane,Soleil de justice,Son van Geregtigheid,7.0,Positif,Mot,Sun of Justice
Bikole,Solide,Solied,3.0,Positif,Mot,Solid
Kulomba,Solliciter,Versoek,-1.0,Negatif,Verbe,To apply
Kukeba,Solliciter,Versoek,0.0,Neutre,Verbe,To apply
Kuambila,Solliciter,Vra,0.0,Neutre,Verbe,To apply
Kuakidila,Soin,Sorg,2.0,Positif,Verbe,Care
Kulama,Soin,Sorg,2.0,Positif,Verbe,Care
Kuelesha menji,Sollicitude,Sorg,1.0,Positif,Mot,Solicitude
Kufinda,Sombre,Donker,-2.0,Negatif,Mot,Dark
Mpunda,Somme,Slaap,0.0,Neutre,Mot,Sum
Mushinga,Somme,Slaap,0.0,Neutre,Mot,Sum
Tshuwidi,Somme,Slaap,0.0,Neutre,Mot,Sum
Disangisha,Somme,Slaap,0.0,Neutre,Mot,Sum
Tulu,Sommeil,Slaap,0.0,Neutre,Mot,Sleep
Kulala,Sommeiller,Sluimer,0.0,Neutre,Verbe,Sleep
Bia Mushinga mukole,Somptueux,Weelderige,5.0,Positif,Mot,Sumptuous
Tshiona,Son,Klank,0.0,Neutre,Mot,Her
Tshiona tshia misambu,Son,Klank,1.0,Positif,Mot,Her
Tshipiminu tshia bule bua mayi,Sonde,Sonde,0.0,Neutre,Mot,Probe
Kukebulula,Sonder,Sonde,0.0,Neutre,Verbe,Probe
Tshilota,Songe,Droom,2.0,Positif,Mot,Dream
Kulota,Songer,Droom,2.0,Positif,Verbe,Think
Kuela mpungi,Sonner,Lui,0.0,Neutre,Verbe,Ring
Nshobo,Sort,Rangskik,-2.0,Negatif,Mot,Spell
Nshoba,Sort,Rangskik,-2.0,Negatif,Mot,Spell
Mushindu eu,Sorte,Sorteer,0.0,Neutre,Mot,Sort
Nunku,Sorte que,Sorteer daardie,0.0,Neutre,Mot,So that
Nunku,Sorte de,Soorte van,0.0,Neutre,Mot,Sort of
Dipatuka,Sortie,Uitgang,0.0,Neutre,Mot,Exit
Kupatuka,Sortir,Uitgang,0.0,Neutre,Verbe,To go out
Kulupuka,Sortir,Uitgang,0.0,Neutre,Verbe,To go out
Dikuta dikese,Sou,Sorg,0.0,Neutre,Mot,Sou
Meshi,Souci,Sorg,-3.0,Negatif,Mot,Worry
Meshi a biuma bia pa buloba,Souci,Sorg,-4.0,Negatif,Mot,Worry
Kuditatshisha,Soucier,Sorg,-4.0,Negatif,Verbe,Soucier
Kuditatshisha mu menji,Soucier,Sorg,-4.0,Negatif,Verbe,Soucier
Luse bua bapele,Soucier,Sorg,-2.0,Negatif,Mot,Soucier
Lukasa,Soudain,Sorg,0.0,Neutre,Mot,Suddenly
Mupuya,Souffle,Skielik,0.0,Neutre,Mot,Breath
Tshipepele,Souffle,Asem,0.0,Neutre,Mot,Breath
Kuela lupepele,Souffler,Asem,0.0,Neutre,Verbe,Blow
Mukumu,Soufflet,Blaas,-2.0,Negatif,Mot,Bellows
Kukuma,Souffleter,Blaas,-3.0,Negatif,Verbe,Blow
Dikenga,Souffrance,Blaas,-6.0,Negatif,Mot,Suffering
Kukenga,Souffrir,Lyding,-6.0,Negatif,Verbe,Suffer
Soufre,Soufre,Lyd,-1.0,Negatif,Mot,Sulfur
Disua,Souhait,Swael,3.0,Positif,Mot,Wish
Disua dia mu mutshima,Souhait,Wens,4.0,Positif,Mot,Wish
Kusua,Souhaiter,Wens,4.0,Positif,Verbe,To wish
Kujinga,Souhaiter,Wens,3.0,Positif,Verbe,To wish
Kukeba,Souhaiter,Wens,1.0,Positif,Verbe,To wish
Kubipisha,Souiller,Wens,-6.0,Negatif,Verbe,Defile
Kunyanga,Souiller,Wens,-6.0,Negatif,Verbe,Defile
Kubolesha,Souiller,Wens,-6.0,Negatif,Verbe,Defile
Dijinga,Souhait,Wens,3.0,Positif,Mot,Wish
Mu Nyuma,Spirituellement,Ontheilig,4.0,Positif,Mot,Spiritually
Dinkenke,Splendeur,Ontheilig,5.0,Positif,Mot,Splendor
Tshia butumbi,Splendidement,Wens,5.0,Positif,Mot,Splendidly
Ne disua,Spontanément,Geestelik,4.0,Positif,Mot,Spontaneously
Ne disua dionso dia mu mutshima,Spontanément,Prag,4.0,Positif,Mot,Spontaneously
Ntanta,Stade,Pragtig,0.0,Neutre,Mot,Stadium
Kulepa,Stature,Spontaan,0.0,Neutre,Mot,Stature
Mu diunvuija dia mu nyuma,Stature,Spontaan,0.0,Neutre,Mot,Stature
Nkumba udi kayyi mua kuimita...,Stérile,Stadion,-6.0,Negatif,Mot,Sterile
Nkumba kupanga mamuma,Stérile,Gestalte,-6.0,Negatif,Mot,Sterile
Muena Stoiko,Stoïcien,Gestalte,0.0,Neutre,Mot,Stoic
Kukema,Stupéfié,Onvrugbaar,-1.0,Negatif,Mot,Stunned
Tshitambala,Suaire,Steriel,-2.0,Negatif,Mot,Shroud
Tshilulu tshiakadibu,Suaire,Stoïsyns,-2.0,Negatif,Mot,Shroud
Kukenga kuangata dikenga,Subir,Verstom,-6.0,Negatif,Verbe,To suffer
Kukenga,Subir,Lykdou,-6.0,Negatif,Verbe,To suffer
Tshintuluntulu,Subit,Ondergaan,0.0,Neutre,Mot,Sudden
Tshimpitshimpi,Subit,Ondergaan,0.0,Neutre,Mot,Sudden
Lukasa,Subitement,Ondergaan,0.0,Neutre,Mot,Suddenly
Ne lukasa,Subitement,Ondergaan,0.0,Neutre,Mot,Suddenly
Kutekesha,Subjuguer,Ondergaan,-3.0,Negatif,Verbe,Subjugate
Kutshimuna,Subjuguer,Skielik,-5.0,Negatif,Verbe,Subjugate
Kubuikidibua ne mayi,Submerger,Skielik,-3.0,Negatif,Verbe,Overwhelm
Kuinyibua mu mayi,Submerger,Onderwerp,-3.0,Negatif,Verbe,Overwhelm
Kubueshela,Suborner,Onderwerp,-6.0,Negatif,Verbe,Bribe
Kutshingulula bua kuenza bualu bubi,Suborner,Dompel,-7.0,Negatif,Verbe,Bribe
Bintu,Subsistance,Dompel,0.0,Neutre,Mot,Subsistence
Bintu biudi nabi bua kudia,Subsistance,Ondergebore,0.0,Neutre,Mot,Subsistence
Kujalama kushala,Subsister,Bestaan ​​,1.0,Positif,Verbe,To survive
Kujalama kukuatakaja,Subsister,Bestaan ​​,1.0,Positif,Verbe,To survive
Bunzambi,Substance,Substansie,0.0,Neutre,Mot,Substance
Kukuatshisha ne bintu,Subvenir,Bestaan ​​,2.0,Positif,Verbe,Provide
Kupambuisha dishimbuka,Subversion,Ondermyning,-6.0,Negatif,Mot,Subversion
Kupambuisha dibutuka,Subversion,Ondermyning,-6.0,Negatif,Mot,Subversion
Mupinganyi,Successeur,Opvolger,0.0,Neutre,Mot,Successor
Kupitshila,Successivement,Aaneenvolgens,0.0,Neutre,Mot,Successively
Sud-est tshiludiludi ne Sude ne Est,Sud-ouest,Suidwes,0.0,Neutre,Mot,Southwest
Luanga bisululu,Sueur,Sweet,0.0,Neutre,Mot,Sweat
Luanga mayi adi apatuka pa mubidi,Sueur,Sweet,0.0,Neutre,Mot,Sweat
Kuakushika,Suffire,Voldoende,2.0,Positif,Verbe,Enough
Kukumbana,Suffire,Voldoende,2.0,Positif,Verbe,Enough
Kukumbana ngikadilu udi ukumbana,Suffisant,Voldoende,2.0,Positif,Mot,Sufficient
Katataka anu mpidieu,Suite,Voldoende,0.0,Neutre,Mot,Following
Kupita pa kapita,Suivant,Voldoende,0.0,Neutre,Mot,Following
Kupita kulonda,Suivant,Voortsetting,0.0,Neutre,Mot,Following
Kunyima pakatiabu,Suivant,Volgende,0.0,Neutre,Mot,Following
Bu mudi,Suivant,Volgende,0.0,Neutre,Mot,Following
Kulonda kuenda ne muntu popamue,Suivre,Volgende,0.0,Neutre,Verbe,Follow
Tshiena bualu bubandi,Sujet,Volgende,0.0,Neutre,Mot,Subject
Tshiena bualu bualu,Sujet,Volgende,0.0,Neutre,Mot,Subject
Tshiambilu ku bualu bua,Sujet,Onderwerp,0.0,Neutre,Mot,Subject
Bia pa mutu udi ufuma ku muaku wa pa muanda Kuvulangana,Superflu,Onderwerp,-1.0,Negatif,Mot,Superfluous
Bia pa mutu kupanga bualu bualu,Superflu,Oorbodig,-1.0,Negatif,Mot,Superfluous
Ku mukuna,Plus élevé,Oorbodig,1.0,Positif,Mot,Higher
Ku mutu,Plus élevé,Hoër,1.0,Positif,Mot,Higher
Ya kulu,Plus élevé,Hoër,1.0,Positif,Mot,Higher
Kukumbaja,Suppléer,Hoër,1.0,Positif,Verbe,Supplement
Kusakidila,Suppléer,Aanvulling,1.0,Positif,Verbe,Supplement
Disengelela,Supplication,Aanvulling,0.0,Neutre,Mot,Supplication
Ditendekena,Supplication,Smeking,0.0,Neutre,Mot,Supplication
Kutendekena,Supplier,Smeking,0.0,Neutre,Verbe,Supplier
Kulomba,Supplier,Aanbod,0.0,Neutre,Verbe,Supplier
Kutendelela ne dinanukila,Supplier,Aanbod,0.0,Neutre,Verbe,Supplier
Kupita,Support,Aanbod,0.0,Neutre,Verbe,Support
Lutulu,Support,Ondersteuning,0.0,Neutre,Mot,Support
Tshidi tshitabujibua,Supportable,Ondersteuning,1.0,Positif,Mot,Bearable
Tshipisha kakese,Supportable,Ondersteunbaar,1.0,Positif,Mot,Bearable
Katshine ne dipila dinene,Supportable,Ondersteunbaar,1.0,Positif,Mot,Bearable
Kutata,Supporter,Ondersteunbaar,1.0,Positif,Verbe,Support
Kuitabuja dikenga,Supporter,Ondersteuning,1.0,Positif,Verbe,Support
Kutuala,Supporter,Ondersteuning,1.0,Positif,Verbe,Support
Kuangata pa mubidi,Supporter,Ondersteuning,1.0,Positif,Verbe,Support
Kufuangikija,Supposer,Aanvaar,0.0,Neutre,Verbe,Assume
Kuela menji,Supposer,Aanvaar,0.0,Neutre,Verbe,Assume
Kushipa,Supprimer,Verwyder,-5.0,Negatif,Verbe,DELETE
Kumusha,Supprimer,Verwyder,-5.0,Negatif,Verbe,DELETE
Kubala,Supputer,Aanvaar,0.0,Neutre,Verbe,To speculate
Kubalula,Supputer,Aanvaar,0.0,Neutre,Verbe,To speculate
Bimpe,Sûr,Seker,2.0,Positif,Mot,On
Biakane,Sûr,Seker,2.0,Positif,Mot,On
Bikole,Sûr,Seker,2.0,Positif,Mot,On
Katataka,Sur-le-champ,Seker,0.0,Neutre,Mot,Immediately
Anu mpindieu,Sur-le-champ,Onmiddellik,0.0,Neutre,Mot,Immediately
Mitambe bungi,Surabondamment,Onmiddellik,1.0,Positif,Mot,Superabundantly
Bungi buvule,Surabondamment,Oorvloedig,1.0,Positif,Mot,Superabundantly
Utamba,Surabondant,Oorvloedig,1.0,Positif,Mot,Abundant
Kupita,Surabondant,Oorvloedig,0.0,Neutre,Verbe,Abundant
Kunemeshela bujitu,Surcharger,Oorlading,-3.0,Negatif,Verbe,Overload
Kutekela muntu bujitu bunene,Surcharger,Oorlading,-3.0,Negatif,Verbe,Overload
Bimpe mushindu,Sûrement,Sekerlik,2.0,Positif,Mot,Certainly
Bikole,Sûrement,Sekerlik,2.0,Positif,Mot,Certainly
Kabayi mua kunyema,Sûrement,Veiligheid,2.0,Positif,Mot,Certainly
Ditalala,Sûreté,Veiligheid,2.0,Positif,Mot,Safety
Bukubi,Sûreté,Ontstaan,2.0,Positif,Mot,Safety
Kuledibua,Surgir,Ontstaan,0.0,Neutre,Verbe,Arise
Kupatukila,Surgir,Ontstaan,0.0,Neutre,Verbe,Arise
Kufumina,Surgir,Oorkom,0.0,Neutre,Verbe,Arise
Kutshimuna,Surmonter,Oorkom,2.0,Positif,Verbe,Overcome
Kupita,Surmonter,Oorkom,2.0,Positif,Verbe,Overcome
Kutenteka dina dikuabu,SurMotmer,Oorkom,0.0,Neutre,Verbe,SurMotmer
Kuinyika muntu dinga dina,SurMotmer,Oorkom,0.0,Neutre,Verbe,SurMotmer
Kutamba,Surpasser,Oorkom,2.0,Positif,Verbe,Surpass
Kupita,Surpasser,Oorkom,2.0,Positif,Verbe,Surpass
Kukuta,Surprendre,Oorkom,-2.0,Negatif,Verbe,Surprise
Kupeta muntu mu dienza dia bualu,Surprendre,Oorkom,-2.0,Negatif,Verbe,Surprise
Kupeta muntu mu buteyi,Surprendre,Oorkom,-2.0,Negatif,Verbe,Surprise
Kutamba,Surtout,Oorkom,1.0,Positif,Mot,Above all
Nangananga,Surtout,Oorkom,1.0,Positif,Mot,Above all
Butangidi,Surveillance,Verrassing,0.0,Neutre,Mot,Monitoring
Mudimu wa mutangidi,Surveillance,Verrassing,0.0,Neutre,Mot,Monitoring
Mutangidi,Surveillant,Veral,0.0,Neutre,Mot,Supervisor
Kutentekela,Surveiller,Veral,0.0,Neutre,Verbe,To watch
Kutabala,Surveiller,Monitering,0.0,Neutre,Verbe,To watch
Kutangila bua buimpe,Surveiller,Monitering,0.0,Neutre,Verbe,To watch
Kulua,Survenir,Monitering,0.0,Neutre,Verbe,Occur
Kufika,Survenir,Monitering,0.0,Neutre,Verbe,Occur
Kulua pabuipi,Survenir,Monitering,0.0,Neutre,Verbe,Occur
Kubisha,Susciter,Ontstaan,-1.0,Negatif,Verbe,To arouse
Kuvuija,Susciter,Ontstaan,-1.0,Negatif,Verbe,To arouse
Kuimanyika,Suspendre,Opskort,-2.0,Negatif,Verbe,Suspend
Kupanga tshia kuenza,Suspendre,Opskort,-2.0,Negatif,Verbe,Suspend
Mioyo kulu,Suspens,Opskorting,0.0,Neutre,Mot,Suspense
Kuindidisha,Suspens,Opskorting,0.0,Neutre,Verbe,Suspense
Kakuyi kujikija,Suspens,Opskorting,0.0,Neutre,Verbe,Suspense
Sukomo,Sycomore,Opskorting,0.0,Neutre,Mot,Sycamore
Mushindu mukuabu wa mutshi wa nfigi,Sycomore,Skerp,0.0,Neutre,Mot,Sycamore
Muimpe bua ditalaji diende dinene,Sycomore,Skerp,0.0,Neutre,Mot,Sycamore
Udi ukuama bimuma bishadile,Sycomore,Skerp,0.0,Neutre,Mot,Sycamore
Kabiyi biabungi,Sycomore,Skerp,0.0,Neutre,Mot,Sycamore
Cyàkukèma,Super,Skerp,7.0,Positif,Mot,Great
Cyamanyaanù,Sale,Skerp,-7.0,Negatif,Mot,Dirty
Cipepèla,Simple,Skerp,1.0,Neutre,Mot,Simple
Nkààya,Seul,Super,0.0,Neutre,Mot,Alone
Nzùbu,Salle,Vuil,0.0,Neutre,Mot,Room
Cyalu,Scène,Eenvoudig,0.0,Neutre,Mot,Scene
Ngikàdilù,Situation,Alleen,0.0,Neutre,Mot,Situation
Yàyà,Sœur,Kamer,4.0,Positif,Mot,Sister
Diloòlù,Soirée,Toneel,3.0,Positif,Mot,Evening
Mùshindù,Sorte,Situasie,0.0,Neutre,Mot,Sort
Cyumvwilu,Sens,Suster,0.0,Neutre,Mot,Sense
Lumvu,Sens,Aand,0.0,Neutre,Mot,Sense
Lupàndu,Salut,Sorteer,5.0,Positif,Mot,Hi
Mwoyo,Salut,Rigting,5.0,Positif,Mot,Hi
Mwoyi,Salut,Rigting,5.0,Positif,Mot,Hi
Fwicifwici,Secret,Hallo,0.0,Neutre,Mot,Secret
Mukalenge,Seigneur,Hallo,2.0,Positif,Nom,Lord
Mukalenga,Seigneur,Geheim,2.0,Positif,Nom,Lord
Mulopò,Seigneur,Here,2.0,Positif,Nom,Lord
Mulopù,Seigneur,Here,2.0,Positif,Nom,Lord
Cimanyinu,Signe,Here,0.0,Neutre,Symbole,Sign
Cileejilu,Signe,Here,0.0,Neutre,Symbole,Sign
Kamanyinu,Signe,Teken,0.0,Neutre,Symbole,Sign
Lubàcì,Silence,Teken,0.0,Neutre,Qualité,Silence
Nyàkàtàà,Silence,Teken,0.0,Neutre,Qualité,Silence
Cyolòòlò,Soir,Stilte,2.0,Positif,Temps,Evening
Cyolòòlù,Soir,Stilte,2.0,Positif,Temps,Evening
Diloòlò,Soir,Aand,2.0,Positif,Temps,Evening
Diloòlù,Soir,Aand,2.0,Positif,Temps,Evening
Mulòòlò,Soir,Aand,2.0,Positif,Temps,Evening
Mulòòlù,Soir,Aand,2.0,Positif,Temps,Evening
Mùsùlaayì,Soldat,Aand,0.0,Neutre,Nom,Soldier
Mumwemwe,Sourire,Soldaat,6.0,Positif,Mot,Smile
Mumwemwa,Sourire,Glimlag,6.0,Positif,Mot,Smile
Mwemunya,Sourire,Glimlag,6.0,Positif,Mot,Smile
Mwenya,Sourire,Glimlag,6.0,Positif,Mot,Smile
Bwalu,Sujet,Onderwerp,0.0,Neutre,Mot,Subject
Cyena bwalu,Sujet,Onderwerp,0.0,Neutre,Mot,Subject
Kubùnduka,Sauter,Spring,0.0,Neutre,Mot,Jump
Kuvuma,Sauter,Spring,1.0,Neutre,Mot,Jump
Kupàndisha,Sauver,Stoor,7.0,Positif,Mot,Save
Kusùngila,Sauver,Stoor,7.0,Positif,Mot,Save
Mukàndà,Savoir,Weet,5.0,Positif,Mot,Know
Manya,Savoir,Weet,5.0,Positif,Mot,Know
Nunka,Sentir,Voel,0.0,Neutre,Mot,Feel
Umvwa,Sentir,Voel,0.0,Neutre,Mot,Feel
Kukànda,Séparer,Skei,0.0,Neutre,Mot,Separate
Kulamuna,Séparer,Skei,0.0,Neutre,Mot,Separate
Kupandula,Séparer,Skei,0.0,Neutre,Mot,Separate
Kwaabulula,Séparer,Skei,0.0,Neutre,Mot,Separate
Kusùnga,Séparer,Skei,0.0,Neutre,Mot,Separate
Kubàmbakaja,Serrer,Hou,0.0,Neutre,Mot,To squeeze
Kucìncimika,Serrer,Hou,0.0,Neutre,Mot,To squeeze
Kupàlakaja,Serrer,Hou,0.0,Neutre,Mot,To squeeze
Kutènga,Serrer,Hou,0.0,Neutre,Mot,To squeeze
Kusadila,Servir,Dien,4.0,Positif,Mot,Serve
Lòpoka,Sortir,Uitgang,0.0,Neutre,Mot,To go out
Lùpuka,Sortir,Uitgang,0.0,Neutre,Mot,To go out
Còmpoka,Sortir,Uitgang,0.0,Neutre,Mot,To go out
Dyòkola,Souffrir,Ly,-7.0,Negatif,Mot,Suffer
Tàta,Souffrir,Ly,-7.0,Negatif,Mot,Suffer
Suba,Souffrir,Ly,-7.0,Negatif,Mot,Suffer
Nyòngomoka,Souffrir,Ly,-7.0,Negatif,Mot,Suffer
Kènga,Souffrir,Ly,-7.0,Negatif,Mot,Suffer
Londa,Suivre,Volg,0.0,Neutre,Mot,Follow
Twà mu nnyimà,Suivre,Volg,0.0,Neutre,Mot,Follow
Munnyimà,Suivre,Volg,0.0,Neutre,Mot,Follow
Cyongo wa minanga,Janvier,Januarie,0.0,Neutre,Mois,January
Lwîshi,Février,Februarie,0.0,Neutre,Mois,FEBRUARY
Lwabanya,Mars,Maart,0.0,Neutre,Mois,March
Cisanga Nkasu,Avril,April,0.0,Neutre,Mois,April
Lumùngùlù,Mai,Mei,0.0,Neutre,Mois,May
Kabalaashipu,Juin,Junie,0.0,Neutre,Mois,June
Kashipu,Juillet,Julie,0.0,Neutre,Mois,July
Cimungù wa mashika,Août,Augustus,0.0,Neutre,Mois,August
Kabitende,Septembre,September,0.0,Neutre,Mois,September
Kasua mansesà,Octobre,Oktober,0.0,Neutre,Mois,October
Kasua banga,Novembre,November,0.0,Neutre,Mois,November
Cisua munene,Décembre,Desember,0.0,Neutre,Mois,December
Kabitenda,Septembre,September,0.0,Neutre,Mois,September
Siyânsà,Science,Wetenskap,5.0,Positif,Mot,Science
Dimanya,Science,Wetenskap,5.0,Positif,Mot,Science
Kunyanguka,S'abîmer,Om te Bederf,-3.0,Negatif,Mot,To damage oneself
Kuwona,S'abîmer,Om te Bederf,-3.0,Negatif,Mot,To damage oneself
Kwibidiljangana ne mwaba,S'Acclimater,Akklimatiseer,1.0,Neutre,Mot,To Acclimatize
Kubidilangana ne mwaba,S'Acclimater,Akklimatiseer,1.0,Neutre,Mot,To Acclimatize
Sabatu,Sabbat,Sabbat,0.0,Neutre,Mot,Sabbath
Mpaya,Sac,Sak,0.0,Neutre,Mot,Bag
Tshijidila,Sacré,Heilig,5.0,Positif,Mot,Sacred
Muakuidi,Sacrificateur,Priester,1.0,Neutre,Mot,Sacrificer
Buakuidi,Sacrificature,Offer,1.0,Neutre,Mot,Sacrifice
Mulambu,Sacrifice,Offer,-1.0,Neutre,Mot,Sacrifice
Kulambula,Sacrifier,Heiligoffer,-1.0,Neutre,Mot,Sacrifice
Munyenganganyi,Sacrilège,Heiligoffer,-7.0,Negatif,Mot,Sacrilege
Musadoke,Sadducéen,Sadduseër,0.0,Neutre,Mot,Sadducee
Muena lungenyi,Sage,Wyse,7.0,Positif,Mot,Wise
Lungenyi,Sagesse,Wysheid,7.0,Positif,Mot,Wisdom
Buakane,Sain,Heilig,6.0,Positif,Mot,Healthy
Wa tshijila,Saint,Heilig,7.0,Positif,Mot,Saint
Tshijila,Saint,Heilig,7.0,Positif,Mot,Saint
