CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
Kujila kua bia kudia,Jeûner,Vinnig,Sheshayo,0.0,Neutre,Mot,Fast
Kujima,Éteindre,Blus,Vala,5.0,Positif,Mot,Turn off
Kujimija,Abolition,Afskaffing,Ukuqedelana,0.0,Neutre,Mot,Abolition
Kujimika,Perle,Pêrel,Amaphelisi,0.0,Neutre,Mot,Pearl
Kujimina,Effacer,Vee uit,Ukusula,0.0,Neutre,Mot,To erase
Kujingila,Bander,Verband,Thola kanzima,0.0,Neutre,Mot,Bander
Kujingila,Emmailloter,Swaddle,Swaddle,3.0,Positif,Mot,Swaddle
Kujinguluila,Expliquer,Verduidelik,Chasisa,3.0,Positif,Mot,Explain
Kujingulula,Discerner,Onderskei,Hlola,0.0,Neutre,Mot,Discern
Kujula,Déraciner,Uittrek,Isiphepho,0.0,Neutre,Mot,Uproot
Kujula diyoyo,Contester,Meeding,Cela,0.0, Neutre,Mot,Challenge
"Kukama, kuma",Tarir,Droog op,Yomile,0.0,Neutre,Mot ,Dry up
Kukanda,Bride,Teuel,I-flange,2.0,Positif,Verbe,Flange
Kukanda (Kakuyi),Empêchement,Belemmering,Ukuvimbela,0.0,Neutre,Mot,Impediment
Kukandika,Enjoindre,Aanbied,Isixumulo,-1.0,Negatif,Mot,To enjoin
Kukanga,Fermer,Maak toe,Ngokuminyanisa,1.0,positf,Mot,Close
Kukangila,Enfermer,Omsluit,Ukukhiya,-2.0,Negatif,Mot,Lock up
Kukanka,Frémir,Bewe,Shukume,0.0,Neutre,Mot,To shudder
Kukanyina,Menacer,Dreig,Songela,-2.0,Negatif,Mot,Threaten
Kukeba,Chercher,Soek,Khwathaza,0.0,Neutre,Mot,Seek
Kukeba ne lukunukunu,Rechercher,Soek,Ukucwaninga,0.0,Neutre,Mot,To research
Kukebulula,Sonder,Peil,Icala lolo munye noma,0.0,Neutre,Mot,Probe
Kukema,Ému,Beweeg,Ethuse,0.0,Neutre,Mot,Emotional
Kukemesha,Étonner,Verbaas,Inyakakhelwane,0.0,Neutre,Mot,Astonish
Kukenga,Souffrir,Ly,Hlupheka,0.0,Neutre,Mot,Suffer
Kukenga (bikole),Cruellement,Wreed,-Nonya,0.0,Neutre,Mot,Cruelly
"Kukengela, kuikala bikengela",Falloir,Val,Ukudinga,0.0,Neutre ,Mot,To need
Kukengesha,Dévaster,Verwoest,Bhuqa,0.0,Neutre,Mot,Devastate
Kukenka,Briller,Skyn,Khanya,-1.0,Negatif,Mot,Shine
"Kukenka, kutema",Reluire,Skyn,Khanya,0.0,Neutre,Mot,Shine
Kukenkesha,Illuminer,Verlig,Khanyisa,0.0,Neutre,Mot,Illuminate
Kukepesha,Abréger,Kort sny,Nciphisa,0.0,Neutre,Mot,Shorten
Kukina,Horreur,Grief,Ukwesaba okukhulu,0.0,Neutre,Mot,Horror
Kukina (kuikala ne lukuna),Haïr,Haat,Ukuzonda,2.0,Positif,Mot,Hate
Kukoka,Attirer,Lok,Khanga,2.0,Positif,Mot,Attract
Kukoka,Tirer,Trek,Ukudonsa,0.0,Neutre,Mot,To pull
Kukokela,Assujettir,Onderwerp,Beka,2.0,Positif,Mot,Subject
Kukokesha,Alimenter,Voed,Idili,0.0,Neutre,Positif,Feed
Kukolesha,Affermir,Versterk,Qinisa,8.0,Positif,Verbe,Strengthen
Kukolesha (mutshima),Endurcir,Verhard,Qinisa,3.0,Positif,Mot,Harden
Kukolesha kua mutshima,Courage,Moed,Isibindi,4.0,Positif,Mot,Courage
Kukomba,Balayer,Vee uit,Shanela,3.0,Positif,Mot,Sweep
Kukonka,Interroger,Vra,Buza,0.0,Neutre,Verbe,To question
Kukonkangana,Entre-demander ,Ondervra,Inter-Buza,0.0,Neutre,Verbe,To ask between 
Kukonya (binu),Ployer,Buig,Amapulangwe,0.0,Neutre,Verbe,Bend
Kukonyangaja,Tordre,Draai,Sontana,0.0,Neutre,Verbe,Twist
Kukosa,Couper,Sny,Ukusika,0.0,Neutre,Verbe,Cut
Kukosa mutu,Décapiter,Onthoof,Khohlisa,0.0,Neutre,Verbe,Behead
Kukosa ne nsele,Scier,Het,Isaha,0.0,Neutre,Verbe,Saw
Kukoyobuka,Dévoyer,Aflei,Delela,0.0,Neutre,Verbe,To mislead
Kukuabu,Ailleurs,Elders,Kwenye indawo,0.0,Neutre,Verbe,Elsewhere
Kukuamba,Rapporter,Terugbring,Ukwenza umbiko,0.0,Neutre,Article,Report
Kukuata,Imposer,Oplê,Thela,0.0,Neutre,Verbe,Impose
Kukuata mudimu,Administrer,Toedien,Singatha,0.0,Neutre,Verbe,Administer
Kukuatshika,Enivrer,Bedwelm,Intombazanazazana,0.0,Neutre,Verbe,Intoxicate
Kukuatshika ne,Emparer,Gryp,Qhwaga,0.0,Neutre,Verbe,Seize
Kukuatshisha,Aider,Help,Usizo,0.0,Neutre,Verbe,Help
Kukuatshisha (ne bintu),Kukuatshisha,Kukuatshisha,Kukuatshisha,0.0,Neutre,Verbe,Kukuatshisha
Kukuatshisha ku didiunda,Contribuer à l'avancement,Dra by tot vooruitgang,Yiba nokuthuthuka,0.0,Neutre,Mot,Contribute to progress
Kukuba,Épargner,Stoor,Hlenga,0.0,Neutre,Verbe,Save
Kukudika,Pendre,Hang,Zula,-2.0,Negatif,Mot,Hang
Kukudimuka,Convertir,Bekeer,Guqula,7.0,Positif,Mot,Convert
Kukudimuna,Changer,Verander,Ukushintsha,-3.0,Negatif,Mot,To change
Kukudimuna kua mutshima,Conversion,Bekering,Ukuphenduka,5.0,Positif,Mot,Conversion
Kukuila,Hommage,Eerbetoon,Okuhlonipha,5.0,Positif,Mot,Tribute
Kukukuila,Adorer,Aanbidding,Dumisa,8.0,Positif,Mot,Worship
Kukulakaja,Kukulakaja,Kukulakaja,Kukulakaja,6.0,Positif,Mot,Kukulakaja
Kukuma,Châtier,Tugtig,Hlawulisa,6.0,Positif,Mot,Punish
Kukuma dikasa ku,Heurter,Aanstoot gee,Shaya,0.0,Neutre,Mot,To hit
Kukuma ku mutshi mutshiamakane,Crucifier,Kruisig,Mbethela,0.0,Neutre,Mot,Crucify
Kukuma mutshima,Convoiter,Begeer,Vala,-2.0,Negatif,Verbe,Covet
Kukumbaja,Compléter,Voltooi,Feza,6.0,Positif,Mot,Complete
"Kukumbaja, kuwuja",Abonder,Oorvloedig wees,Ningi futhi,0.0,Neutre,Mot,Amount
Kukumbana,Suffisant,Voldoende,-Lingene,0.0,Neutre,Mot,Sufficient
Kukumbana ba bungi,Multiplier,Vermenigvuldig,Andisa,0.0,Neutre ,Mot,Multiply
Kukumbanyina,Mériter,Verdien,Fanela,7.0,Positif,Mot,Deserve
Kukuna,Planter,Plant,Tshala,7.0,positidf,Mot,Plant
Kukungija,Ramasser,Optel,Phakamisa,0.0,Neutre,Mot,Pick up
Kukungula,Rugir,Brul,Bhosa,0.0,Neutre,Mot,Roar
Kukuobamisha,Courber,Buig,Gobisa,-5.0,Negatif,Mot,Bend
Kukupa,Lancer,Gooi,Phonsa,-8.0,Negatif,Mot,Throw
Kukupa mutu,Hocher,Knik,Nqekuzisa ikhanda,0.0,Neutre ,Mot,Hocher
Kukupula,Essuyer,Vee,Ukusula,6.0,Positif,Mot,To wipe
Kukuta (ku meyi …),Surprendre,Verras,Mangaza,-1.0,Negatif,Verbe,Surprise
Kukutshisha,Rassasier,Bevredig,Gculisa,3.0,Positif,Mot,To satisfy
Kûla,"Emplir, Enfler","Vul, Swel","Gcwalisa, ukuvuvukala",4.0,Positif,Mot,"To fill, to swell"
Kula diyi bikole,Écrier,Skree,Bhala,-2.0,négative,Mot,To shout
Kûla kua musulu,Inondation,Vloed,Isikhukhula,3.0,Positif,Mot,Flood
Kulaba,Embaumer,Balsem,Insolo,0.0,neutrre ,Mot,Embalm
Kulaba manyi,Oindre,Salf,-Nela phansi,0.0,Neutre ,Mot,Anoint
Kulabula,Goûter,Proe,Ukunambitha,0.0,Neutre,Mot,To taste
Kulaka,Lécher,Lek,Khotha,1.0,Positif,Mot,Lick
Kulala,Coucher,Lê neer,Ukulala,4.0,Positif,Mot,To sleep
Kuloka,Pleuvoir,Reën,Imvula,3.0,Positif,Mot,Rain
"Kulala, kuladika",Loger,Huis,Hlalisa,0.0,Neutre,Mot,Accommodation
Kulama,Conservation,Bewaring,Ukongiwa,-3.0,Negatif,Mot,Conservation
"Kulama, kushiya",Réserver,Reserveer,Ukubhuka,-3.0,Negatif,Mot,To book
Kulamakaja,Unir,Verenig,Bandakanya,5.0,Positif,Mot,Unite
Kulamakajibua,Participation,Deelname,Ukuhlanganyela,0.0,Neutre ,Mot,Participation
Kulamata,Dépendre,Afhang,Enqika,3.0,Positif,Mot,Depend
Kulambuisha,Percevoir,Waarneem,Qonda,2.0,Positif,Mot,Perceive
Kulambula,Sacrifier,Offer,Hlabela,3.0,Positif,Mot,Sacrifice
Kulamika ditamba dia mutshi,Enter,Ingaan,Ngena,-1.0,Negatif,Mot,Enter
Kulaya,Ajourner,Uitstel,Hlehlisa,3.0,Positif,Mot,Adjourn
Kulayidila,Excuser,Verskoning,Xolela,-2.0,Negatif,Mot,Excuse
Kule (udi),Éloigné,Afstand,-Buqamama,0.0, neuitre,Mot,Distant
Kuledibua,Naissance,Geboorte,Ukuzalwa,-1.0,Negatif,Mot,Birth
Kuledibua kua tshiakabidi,Naître de nouveau,Word weer gebore,Ukuzalwa kabusha,2.0,Positif,Mot,To be born again
Kuleja,Indiquer,Aandui,Khombisa,0.0,Neutre,Mot,Indicate
Kuleja tshilema,Reprocher,Verwyt,Ukuhlambalaza,-1.0,Negatif,Mot,To reproach
Kulekela,Abandon,Verlaat,Ukulahlwa,2.0,Positif,Mot,Abandon
Kulekelela,Acquitter,Vryspreek,Vuma,-2.0,Negatif,Mot,Acquit
Kulekelela muntu bubi,Pardonner,Vergewe,Xolela,0.0,Neutre,Mot,Forgive
Kulela,Accoucher,Gee geboorte,Zala,-3.0,Negatif,Mot,Giving birth
Kulelela tshia kabidi,Régénérer,Regenereer,Hlanganisa,0.0,Neutre ,Mot,Regenerate
Kulenduisha,Scandaliser,Skandaliseer,Ona,-1.0,Neutre ,Mot,Scandalize
Kulenduka,Broncher,Frankryk,Umgqugquzo,0.0,Neutre,Mot,To snort
Kulenga,Toucher,Raak aan,Ukuthinta,0.0,Neutre,Mot,To touch
Kulengeja,Orner,Versier,Hlabisa,5.0,Positif,Mot,To Adorn
,Perfidie,Verraderlik,Umphetho,0.0,Neutre,Mot,Perfidy
Kulengeja,Sanctifier,Heilig,Ngcwelisa,0.0,Neutre,Mot,Sanctify
Kulengejibua,Perfectionnement,Perfeksie,Ukululama,0.0,Neutre,Mot,Improvement
Kulengulula,Négliger,Verwaarloos,Ukunganaki,0.0,Neutre,Mot,Neglect
Kulepa,Stature,Status,Ibanga elimbethe,3.0,Positif,Mot,Stature
Kulepesha,Prolonger,Verleng,Nweba,3.0,Positif,Mot,Extend
Kulesha,Présenter,Teenwoordig,Ukwethula,0.0,Neutre,Mot,To present
Kuloba,Pêcher,Vis,Ona,0.0,Neutre,Mot,Sin
Oleve,"Olive, Olivier","Olyf, Olyf","Umnqumo, u-Olivier",0.0, Neutre,Mot,"Olive, Olivier"
Omega = Z,Oméga,Omega,Omega,0.0,Neutre,Mot ,Omega
"Onso, bonso, bionso",Entier,Heel,-Nke,2.0,Positif,Verbe,Entire
Ours,Ours,Beer,Thwala,0.0,Neutre,Mot,Bear
Pa bule,Distance,Afstand,Ibanga,-1.0,Negatif,Mot,Distance
Pa diba adi,Instantanément,Onmiddellik,Khona manje,1.0,positf,Mot,Instantly
Pa kulela (Kutatshila),Enfantement,Geboorte,Ukubeletha,-2.0,Negatif,Mot,Childbirth
Pa kuvuluka,Ressouvenir,Onthou,Khumbula,0.0,Neutre,Mot,Remember
Pa nkaya,Particulier,Besondere,-Khethiweyo,-2.0,Negatif,Mot,Particular
Pabuipi,Voisin,Buurman,Umakhelwane,0.0,Neutre,Mot,Neighbor
Pabuipi ne muaba,Environs,Omgewing,Okuzungezile,0.0,Neutre,Mot,Surroundings
Paladiso,Paradis,Paradys,Ezulwini,0.0,Neutre,Mot,Heaven
"Pamue, popamue",Commun,Gemeenskaplike,-Jwayelekile,0.0,Neutre,Mot,Common
Panshi (pa buloba),Sol,Grond,Kuenhlabathini,0.0,Neutre,Mot,Ground
Panyima,Revers,Omgekeerd,Hlehla,0.0,Neutre,Mot,Reverse
Patoke,Franchise,Franchise,Ingdoda yezinhlamvu,0.0,Neutre,Mot,Franchise
Patshiatshia pa kulu,Orient d'en haut,Oriënteer van bo af,Empumalanga kusuka phezulu,0.0,Neutre ,Mot,Orient from above
Patupu,Vain,Ydel,-Yize,0.0,Neutre,Mot,Vain
"Patupu (a), mapuekele",Vil,Vals,-Limbile,-1.0,Negatif,Mot,Vile
Patupu (tshona),Inutilement,Nutteloos,Ngokungadingekile,0.0,Neutre,Mot,Unnecessarily
Pentekoste,Pentecôte,Pinkster,Pentekosti,0.0,Neutre,Mot,Pentecost
Pepi,Voisinage,Buurt,Ubukhelwane,0.0,Neutre,Mot,Neighborhood
Python,Python,Python,Python,0.0,Neutre,Mot,Python
Sabatu,Sabbat,Sabbat,ISabatha,2.0,Positif,Mot,Sabbath
Saphir,Saphir,Saffier,ISapphire,2.0,Positif,Mot,Sapphire
Sardoine,Sardius,Sardius,Isimo esikhulu,0.0,Neutre,Mot,Sardius
Sardony,Sardonix,Sardonix,Sardonix,2.0,Positif,Mot,Sardonix
Seole,Orge,Gars,Ubhali,0.0,Neutre,Mot,Barley
Soie (tshia),Soie,Sy,Usilika,0.0,Neutre,Mot,Silk
Soufre,Soufre,Swael,Isibabule,4.0,Positif,Mot,Sulfur
Sud-est,Sud-ouest,Suidwes,Eningizimu-ntshonalanga,1.0,Positif,Mot,Southwest
"Sude, munda munya",Midi,Suid,Imini,0.0,Neutre,Mot,Noon
Sukamina,Mûrier,Moerbei,Isilwane warberry,0.0,Neutre,Mot,Mulberry
Sukomo,Sycomore,Sycamore,Isikati,0.0,Neutre,Mot,Sycamore
Tshia pa buloba,Terrestre,Aards,Umhlabathi,1.0,Positif,Mot,Terrestrial
Tshia pankatshi,Moitié,Half,Uhlangothi,0.0,Negatif,Mot,Half
Tshia patupu,Déshonneur,Oneer,Ukuhlamba,-2.0,Negatif,Mot,Dishonor
Tshia tshiendelele,Éternel,Ewig,-Ngapheliyo,6.0,Positif,Mot,Eternal
Tshia tshipendu,Injurieux,Skadelik,-Casulayo,-8.0,Negatif,Mot,Offensive
Tshia tshitshiu,Peuple,Mense,Abantu,0.0,Neutre,Mot,People
Tshiabungi,Immense,Ongelooflik,-Khulu kakhulu,7.0,Positif,Mot,Immense
Tshiadi,Poitrine,Bors,Ibhokisi,0.0,Neutre,Mot,Chest
Tshiakabidi,Double,Dubbel,-Bili,4.0,Positif,Mot,Double
Tshiakane Tshidi tshianyisha,Agréable,Aangenaam,-Mtoti,2.0,Positif,Mot,Pleasant
"Tshiakane Tshidi
tshisankisha",Agréable,Aangenaam,-Mtoti,4.0,Positif,Mot,Pleasant
Tshiakulakula,Conte,Verhaal,Indaba,0.0,Neutre,Mot,Tale
Tshiamu tshia mitaku,Airain,Koper,Ithusi,1.0,Positif,Mot,Brass
Tshiamua,Fer,Yster,Insimbi yoku-ayina,0.0,Neutre,Mot,Iron
Tshianana,Faussement,Valslik,Ngamanga,-3.0,Neutre,Mot ,Falsely
Tshianyishanyisha,Flatterie,Vleiery,-Tulall,-5.0,Negatif,Mot,Flattery
Tshianza,Main,Hand,Isandla,2.0,Positif,Verbe,Hand
Tshibanda,Descente,Afkoms,Isimo esizayo,2.0,Positif,Mot,Descent
Tshibandilu,Degré,Graad,Ibanga,0.0,Neutre,Mot,Degree
Tshibangidilu,Commencement,Begin,Ukuqala,0.0,Neutre,Mot,Beginning
Tshibangu,Bâton,Staf,Induku,0.0,Neutre,Mot,Stick
Tshibelu,Cuisse,Dybene,Ithanga,-2.0,Negatif,Mot,Thigh
Tshibi,Mal,Boos,-Ngalungile,0.0,Neutre,Mot,Wrong
Tshibipe,Impur,Onrein,Ngcolisa,-1.0,Negatif,Mot,Impure
Tshibishi,Vert,Groen,-Yimpatho,-1.0,Negatif,Mot,Green
Tshibobe,Maturité,Rypheid,Ukuvuthwa,0.0,Neutre,Mot,Maturity
Tshibombu,Bourse,Beurs,SOTCK Exchange,0.0,Neutre,Mot,Sotck exchange
Tshibueledi,Accès,Toegang,Tholakala,0.0,Neutre,Mot,Access
Tshibuikilu (tshia mushete wa tshipungidi),Propitiatoire,Versoenmiddel,Okuphathelene nenkululeko,1.0,Positif,Mot,Propitiatory
"Tshibuikilu tshia pa
tshiadi",Cuirasse,Borsplaat,Isihlanzi sesifuba,1.0,Positif,Mot,Breastplate
Tshibulula,Ouvert,Oop,Vula,1.0,Positif,Mot,Open
Tshibumba,Muraille,Muur,Udonga,0.0,Neutre,Mot,Wall
Tshibungubungu,Côte,Rib,Usebe,0.0,Neutre,Mot,Side
Talala,Paisiblement,Vreedsaam,Ngokuba khona,-3.0,Negatif,Mot,Peacefully
Tatu,Père,Vader,Uyihlo,-3.0,Negatif,Mot,Father
Thuya,Thuya,Thuja,Thuya,-2.0,Negatif,Mot,Thuya
Topaze,Topaze,Topasie,Isihloko,1.0,Positif,Mot,Topaz
Tsha kabidi,Nouveau,Nuut,-Kwanamuhla,1.0,Positif,Mot,New
Tshabungi be,Abondamment,Oorvloedig,Kakhulu,0.0,Neutre,Mot,Abundantly
Tshakane (tshidi),Équitable,Mooi,-Hle,0.0,Neutre,Mot,Fair
Tsheya,Caution,Garantie,Faka,1.0,Positif,Mot ,Caution
Tshia bademon,Diabolique,Diaboli kal,Diabolical,0.0,Neutre,Mot,Diabolical
Tshia bukelenge,Royal,Koninklike,-Obukhosi,0.0,Neutre,Mot,Royal
Tshia buowa,Terrible,Verskriklik,-Sabisayo,0.0,Neutre,Mot,Terrible
Tshia butumbi,Splendidement,Pragtig,Ngokubabazekayo,0.0,Neutre,Mot,Splendidly
"Tshia dikumi, Kufila tshitupa atshi",Dîme,Tiende,Indizo,2.0,Positif,Mot,Dime
Tshia dimomena,Rouillé,Roestig,Ukugqwala,1.0,Positif,Mot,Rust
Tshia kale (muleji),Ancien,Antieke,-Daladala,0.0,Neutre,Mot,Ancient
Tshia kudia,Aliment,Kos,Ukudla,1.0,Positif,Mot,Food
Tshia kufunda,Tablette,Tablet,Iphilisi,1.0,Positif,Mot,Tablet
Tshia kuitaba,Acceptable,Aanvaarbaar,-Mukelekile,1.0,Positif,Mot,Acceptable
Tshia kunua,Breuvage,Drank,Okokuphuza,2.0,Positif,Mot,Beverage
Tshia mu diulu,Céleste,Hemels,-Bukeyela basezulwini,0.0,Neutre,Mot,Celestial
Tshia mu tshisuku,Sauvage,Wilde,-Dlovulile,-3.0,Negatif,Mot,Savage
Tshia mubidi,Corporellement,Figiaal,-Ngomzimba,1.0,Positif,Mot,Physically
Tshia muinshi (mua buloba),Infernal,Helagtige,I-infernal,-2.0,Negatif,Mot,Infernal
Tshia nvita,Dépouille,Buit,Inqobe,2.0,Positif,Mot,Remains
Tshia Nyuma,Spirituel,Geestelik,-Kwenhliziyo,0.0,Neutre,Mot,Spiritual
Tshia Nzambi,Divin,Goddelike,-Ngenaphezulu,0.0,Neutre,Verbe,Divine
Tshibungubungu,Rivage,Kus,Ugu,-1.0,Negatif,Mot,Shore
"Tshibutshidi; tshintu
tshia mushinga mukole",Trésor,Skat,Igugu,0.0,Neutre,Mot,Treasure
Tshibutshilu,Cellier,Kelder,Sela,0.0,Neutre,Mot,Cellar
Tshidi kapia,Bouillant,Kookend,Bilisa,0.0,Neutre,Mot,Boiling
"Tshidi katshiyi mua
kujingulula",Insondable,Onpeilbaar,-Ngenalo,1.0,Positif,Mot,Unfathomable
Tshidi katshiyi Tshijiminaa,Impérissable,Onverganklik,Ukungabona lutho,0.0,Neutre,Mot,Imperishable
"Tshidi katshiyi
tshijinguluka",Confus,Verward,Didekile,2.0,Positif,Mot,Confused
Tshidi katshiyi tshinyanguka,Incorruptible,Onverganklik,-Nokulimala,-1.0,Negatif,Mot,Incorruptible
Tshidi katshiyi tshipetangana ne tshikuabu,Contraire,Teenstrydig,Bhekene,0.0,Neutre,Mot,Opposite
"Tshidi ne bukole,",Valide,Geldig,-Lungile,-2.0,Negatif,Mot,Valid
Tshidi ne bulelela,Sincérité,Opregtheid,Ubuqatha,-1.0,Negatif,Mot,Sincerity
Tshidi ne ngikadilu wa bukole,Endurcissement,Verharding,Ukuqina,1.0,Positif,Mot,Hardening
Tshidi pepi,Proche,Naby,Ngokuminyanisa,2.0,Positif,Mot,Close
Tshidi tsha bundu,Infâme,Berugte,-Ngokwesabekayo,0.0,Neutre,Mot,Infamous
Tshidi tshia bonso,Public,Openbaar,Abathameli,1.0,Positif,Mot,Audience
Tshidi tshia kuakaja,Traitable,Skatbaar,Yelaphe,0.0,Neutre,Mot,Treatable
Tshidi tshia tshijila,Magnifique,Pragtig,-Bucwazicwazi,0.0,Neutre,Mot,Gorgeous
Tshidi tshia tshilele,Naturel,Natuurlik,-Yimvelo,0.0,Neutre,Mot,Natural
Tshidi tshiengelela,Lumineux,Helder,-Gqamile,1.0,Positif,Mot,Bright
Tshidi tshikenka,Éclatant,Briljant,-Benyezelayo,-1.0,Negatif,Mot,Brilliant
Tshidi tshikongyangale,Tortu,Krom,Ufudu lwasemanzini,2.0,Positif,Mot,Turtle
Tshidi tshikulukulu,Vieux,Ou,-Dala,-1.0,Negatif,Mot,Old
Tshidi tshimpe be,Excellent,Uitstekend,-Hle kakhulu,1.0,Positif,Mot,Excellent
Tshidi tshimueneka,Visible,Sigbaar,Qavile,2.0,Positif,Mot,Visible
"Tshidi tshishala
tshiendelele",Permettre,Laat toe,Vuma,-2.0,Negatif,Mot,Allow
Tshidi tshitabujibua,Supportable,Verdraagsaam,-Bekezelekayo,0.0,Neutre,Mot,Bearable
Tshidi tshitupu,Vide,Leeg,-Ngahlali lutho,-3.0,Negatif,Mot,Empty
Tshidi tshiyanguka,Corruptible,Verganklik,-Nesomana,0.0,Neutre,Mot,Corruptible
Tshidibuluenyi,Aneth,Dille,Diss,1.0,Positif,Mot,Dill
Tshidikijilu tshia lubilu,Course,Ras,Jaha,3.0,Positif,Mot,Race
Tshidilu,Crèche,Geboortetoneel,Umkhombe,0.0,Neutre,Mot,Crib
Tshidimba,Gouvernail,Roer,Isiqondiso sebhanoyi,2.0,Positif,Mot,Rudder
Tshidime,Cultivateur,Boer,Umninipulazi,2.0,Positif,Mot,Farmer
Tshidimu,"An, Année",Jaar,"Unyaka, unyaka",-2.0,Negatif,Mot,Year
"Tshidimu tshia
mashika",Hiver,Winter,Ubusika,0.0,Neutre,Mot,Winter
Tshidimu tshia mayowa,Été,Somer,Ihlobo,3.0,Positif,Mot,Summer
Tshiena bualu,Sujet,Onderwerp,Beka,0.0,Neutre,Mot,Subject
Tshiena lomo,Latin,Latyn,IsiLatini,1.0,Positif,Verbe,Latin
Tshiendelele,Éternellement,Ewig,Ngokunalo,1.0,Positif,Mot,Eternally
Tshiendelu,Parvis,Parvis,Igceke,-1.0,Negatif,Mot,Forecourt
Tshienzedi,Action,Aksie,Ukwenza,-2.0,Negatif,Mot,Action
"Tshienzedi, malu",Œuvre,Werk,Ubuciko,0.0,Neutre,Mot,Artwork
Tshieya,Arrhes,Ernstig,Faka,0.0,Neutre,Mot,Deposit
Tshifuafua,Mortel,Sterflik,-Phethe,0.0,Neutre,Mot,Mortal
Tshifufu,Complot,Komplot,Umbimbi,0.0,Neutre,Mot,Conspiracy
Tshifukibua,Créature,Skepsel,Isilwane,0.0,Neutre,Mot,Creature
"Tshifukibua tshipia
tshipia",Nouvelle création,Nuwe Skepping,Indalo entsha,0.0,Neutre,Mot,New creation
Tshifulu,Casque,Helm,Umgqomo,0.0,Neutre,Mot,Helmet
Tshifulu tshia butumbi,Diadème,Diara,Tisana,0.0,Neutre,Mot,Tiara
Tshiji,Colère,Woede,Intukuthelo,0.0,Neutre,Mot,Anger
Tshiji,Colère,Toorn,Intukuthelo,0.0,Neutre,Mot,Anger
Tshij,Fureur,Fuurheid,Isibhengubhengu,0.0,Neutre,Mot,Fury
Tshijidila,Sacré,Heilig,-Ngcwele,0.0,Neutre,Mot,Sacred
Tshijila,Pureté,Reiheid,Ubumsulwa,1.0,Positif,Mot,Purity
Tshijila ,Saintement,Heilig,'-Ngcwele,0.0,Neutre,Mot,Holyly
Tshijila ,Saint,Heilig,Usanti,0.0,Neutre,Mot,Saint
Tshikaminu,Pressoir,Wynpers,Gcinezela,0.0,Neutre,Mot,Press
Tshikanga,Cuit,Gekook,Iphekwe,0.0,Neutre,Mot,Cooked
Tshikankanyi,Talon,Hakskeen,Isithende,1.0,Positif,Mot,Heel
Tshikena kumona,Vision,Visie,Umbono,1.0,Positif,Mot,Vision
Tshikole adi,Grave,Graf,-Khulu,-2.0,Negatif,Mot,Severe
Tshikololo,Corbeau,Raaf,Igwababa,-2.0,Negatif,Mot,Crow
Tshikololo,Aigle,Arend,Ukhozi,-2.0,Negatif,Mot,Eagle
Tshikondo,Antérieurement,Vorige,Ngaphambilini,-1.0,Negatif,Mot,Previously
Tshikondo,Moment,Oomblik,Isikhashana,0.0,Neutre,Mot,Moment
Tshikondo etshi,Actuel,Huidige,-Dlulayo,1.0,Positif,Mot,Current
Tshikondo tshimpe,Opportun,Geleë,Ngesikhathi,0.0,Neutre,Mot,Opportun
Tshikote,Cumin,Komyn,Uhlobo lwensanzaka,1.0,Positif,Mot,Cumin
Tshikowelu,Vêtement,Klere,Isigqoko,-2.0,Negatif,Mot,Garment
Tshikoyeke,Immonde,Vuil,Ngcolile kakhulu,-3.0,Negatif,Mot,Disgusting
Tshikumbane,Assez Utile,Heel Nuttig,Iwusizo impela,-3.0,Negatif,Mot,Quite Useful
"Tshikumbane, tshiûja",Complet,Volledig,Feza,2.0,Positif,Mot,Complete
Tshikusu,Ver,Wurm,Impethu,2.0,Positif,Mot,Worm
Tshikutu (tshia kapia),Fournaise,Oond,Imbuthuma,2.0,Positif,Mot,Furnace
"Tshikutu,
tshipukatshia mitshi",Buisson,Bos,Ihlathi,2.0,Positif,Mot,Bush
Tshilambuidi,Recette,Resep,Indlela yokwenza into ethize efana nokupheka,2.0,Positif,Mot,Recipe
Tshile,Long,Lang,-De,0.0,Neutre,Mot,Long
Tshilejelu,Exemple,Voorbeeld,Isibonelo,0.0,Neutre,Mot,Example
Tshilele,Coutume,Gewoonte,Umkhuba,0.0,Neutre,Mot,Custom
"Tshilele, tshibidilu",Habitude,Gewoonte,Isiko,0.0,Neutre,Mot,Habit
Tshilelela,Réel,Werklik,-Liqiniso,-1.0,Negatif,Mot,Real
Tshilelela,Antitype,Teentipe,Ukuwobelana,0.0,Neutre,Mot,Antitype
Tshilema,Défaut,Fout,Phutha,0.0,Neutre,Mot,Default
Tshilenduishi,Scandale,Skandaal,Amapeketwane,-5.0,Negatif,Mot,Scandal
Tshileshelu,Formule,Formule,Uhlobo,0.0,Neutre,Mot,Formula
Tshilobeshi,Proie,Prooi,Inyamazane edliwayo,0.0,Neutre,Mot,Prey
Tshilongo,Fleur,Blom,Umqhakazo,0.0,Neutre,Mot,Flower
Tshilota,Songe,Droom,Iphupha,0.0,Neutre,Mot,Dream
Tshilotalota,Extase,Ekstase,Enyanyayo,0.0,Neutre,Mot,Ecstasy
Tshilulu,Bande,Band,Isibopho,0.0,Neutre,Mot,Band
Bia pa mutu ,Superflu,Oorbodig,-Phezulu,1.0,Positif,Mot,Superfluous
Biakadiye nabi bualu,Indigence,Armoede,Indawo,1.0,Positif,Mot,Poverty
