CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Tsonga_Translation
Didibingisha,Excuse,Verskoning,Xolela,6.42261904761904,Positif,Mot,Excuse,Tlhenguka
Dididishi,Fenêtre,Venster,Iwindi,0.0,Neutre,Mot,Window,Fasitere
Didikanda,Tempérance,Matigheid,Ukugxila,6.71547619047619,Positif,Mot,Temperance,Ku tikhoma
"Didimuisha, dilongesha, kalasa",Discipline,Dissipline,Imfundiso yokulalela,6.86190476190476,Positif,Mot,Discipline,Tshinya
Didinga,Fraude,Bedrog,Ubuwanqa,7.00833333333333,Positif,Mot,Fraud,Vuxisi
Didisankisha,Satisfaction,Tevredenheid,Ukugculiseka,7.1547619047619,Positif,Mot,Satisfaction,Eneriseka
Didisua; diambu,Orgueil,Trots,Ukuziqhenya,7.30119047619047,Positif,Mot,Pride,Manyunyu
Didiunda,Croissance,Groei,Ukundlondlobala,7.44761904761904,Positif,Mot,Growth,Ku kula
Didiundisha,Avancement,Vordering,Ukuqhubekela phambili,7.59404761904761,Positif,Mot,Advancement,Ku ya emahlweni
Dieba,Aiguillon,Angel,Tinyela,-3.0,Neutre,Mot,Sting,Tlhava
Diedibua dia manyi,Onction,Salwing,Ukugcotshwa,3.0,Positif,Mot,Anointing,Ku tota
Dienza,Opérant,Operasie,Osebenzayo,4.0,Positif,Mot,Operating,Ku tirha
Dienzeja dia dipambuka,Énergie d'erreur,Energie van dwaling,Amandla ephutha,-6.0,Negatif,Mot,Error energy,Enerji ya swihoxo
Dienzejibua ku bukole,Contrainte,Beperking,Ingxabano,0.0,Positif,Mot,Constraint,Xihinga
Difika dia munda,Courroux,Woede,Ukuthukusana,5.0,Positif,Mot,Wrath,Vukarhi
Difikisha munda,Irritation,Irritasie,Ukucunula,7.0,Positif,Mot,Irritation,Ku hlundzuka
Difu,Estomac,Maag,Isisu,5.0,Positif,Mot,Stomach,Khwiri
Difuma,Lance,Spies,Izala,5.0,Positif,Mot,Spear,Xitlhangu xa xirhendzevutani
Difutu,Dépens,Uitgawe,Izindleko,5.0,Positif,Mot,Expenses,Madurhelo
Dikenga,Tribulation,Verdrukking,Usizi,5.0,Positif,Mot,Tribulation,Nhlomulo
Dikenga,Détresse,Nood,Usizi,-1.0,Negatif,Mot,Distress,Maxangwini
Dikenga dia bintu,Privation,Ontbering,Ukwehliswa,5.0,Positif,Mot,Deprivation,Ku pfumala swilo
Dikengeshibua,Oppression,Onderdrukking,Ukuhlupheka,5.0,Positif,Mot,Oppression,Ku tshikileriwa
Dikenke,Éclat,Helderheid,Nkemuzela,5.0,Positif,Mot,Glow,Vangama
Dikima,Assurance,Versekering,Umshwalense,5.0,Positif,Mot,Insurance,Ndzindzakhombo
Dikisha,Repos,Rus,Thulisa,5.0,Positif,Mot,Rest,Wisa
Dikolesha,Exercer,Oefening,Vocavoca,5.0,Positif,Mot,Exercise,Tiolola
Dikonka,Question,Vraag,Buza,5.0,Positif,Mot,Question,Xivutiso
Dikuatshisha,Contribution,Bydrae,Isethulo,5.0,Positif,Mot,Contribution,Nghenisa xandla
Dikuatshishangana,Fournissement,Voorsiening,Phakela,5.0,Positif,Mot,Supply,Phakela
Dikudimuka,Variation,Variasie,Ukuphenduka,5.0,Positif,Mot,Variation,Ku hambana ka swilo
Dikudimuna,Changement,Verandering,Phendula,5.0,Positif,Mot,Change,Cinca
Dikudimuna dia mutshima,Repentance,Bekering,Ukuphenduka,5.0,Positif,Verbe,Repentance,Ku hundzuka
Dikuma dia mutshima bipeta mu njila mibi,Avide d'un gain honteux,Gulsig vir skandelike wins,Ukuhaha inzuzo eyihlazo,5.0,Positif,Mot,Greedy for shameful gain,Makwanga ya ku vuyeriwa hi tingana
Dikuma dia mutshima ku biuma,Avarice,Gierigheid,Iphazazela,5.0,Positif,Mot,Avarice,Ku navela ka rimbewu
Dikumbana,Accomplissement,Prestasie,Ubungcweti,4.0,Positif,Mot,Achievement,Fikelela
Dikumi,Dix,Tien,Ishumi,10.0,Positif,Nombre,Ten,Khume
Dikumi ne binayi,Quatorze,Veertien,Ishumi nane,8.0,Positif,Nombre,Fourteen,Khumemune
Dikumi ne ibidi,Douze,Twaalf,Ishumi nambili,8.0,Positif,Nombre,Twelve,Khumembirhi
Dikumi ne itanu,Quinze,Vyftien,Ishumi nanhlanu,8.0,Positif,Nombre,Fifteen,Khumentlhanu
Dikumi ne muanda mukulu,Dix-huit,Agtien,Ishumi nesishayagalombili,6.0,Positif,Nombre,Eighteen,Khumenhungu
Dikumi ne umue,"Onze, Onzième","Elf, Elfde","Eleven, Eleventh",6.0,Positif,Nombre,"Eleven, Eleventh","Khume-n’we, Khume-n’we"
Dikunji,Colonne,Kolom,Insika,6.0,Positif,Mot,Column,Kholomo
Dikunyibua,Implanté,Ingeplant,-Yisimukisa,6.0,Positif,Mot,Implanted,Ku nghenisiwa
Dikunza,Roux,Rooi,-Bhebhe kahle,6.0,Positif,mm,Redhead,Nhloko yo tshwuka
Dikuta,Monnaie,Geld,Ukheshi,6.0,Positif,Mot,Cash,Khexe
Dikuta dikese,Sou,Sop,Ubuhlanga,6.0,Positif,Mot,Sou,Sou
Diledibua kua tshiakabidi,Régénération,Regenerasie,Ukunyusa kabusha,6.0,Positif,Mot,Regeneration,Ku tswariwa nakambe
Dileja dia mampa,Propositions des pains,Broodvoorstelle,Iziphakamiso zesinkwa,2.0,Positif,Mot,Bread suggestions,Swiringanyeto swa xinkwa
Dileja tshilema,Reproche,Verwyt,Ngqonhlamvu,8.0,Positif,Mot,Reproach,Ku rhuketeriwa
"Dilelela, tshidi tshia kueyemenyibua",Certain,Seker,-Azi kahle,6.0,Positif,Mot,Certain,Tiyisisa
Dilengeja,Purification,Suiwering,Ukuhlambululela,5.0,Positif,Mot,Purification,Ku basisiwa
Dilengejibua,Perfection,Volmaaktheid,Ukuphelela du,5.0,Positif,Mot,Perfection,Ku hetiseka
Dilengesha,Parure,Versiering,Ukuhlobisa,5.0,Positif,Mot,Jewelry,Xingwavila
Dileta,Lettre,Brief,Uhlamvu lokulandelana kwamagama,5.0,Positif,Mot,Letter,Papila
Diloba,Pêche,Visvang,Ukufakaza,5.0,Positif,Mot,Fishing,Ku phasa tinhlampfi
Dilobo,Port,Hawe,Itheku,5.0,Positif,Mot,Port,Ribuweni
Dilolo,Soir,Aand,Kusihlwa,5.0,Positif,Mot,Evening,Madyambu
Dilomba,Demande,Versoek,Nxusa,7.0,Positif,Mot,Request,Xikombelo
Dilondolola dia ndelanganyi,Généalogie,Genealogie,Kohluzo,7.0,Positif,Mot,Genealogy,Nxaxamelo wa rixaka
Dilonga,Bassin,Bekken,Indishi,5.0,Positif,Mot,Basin,Basin
Dilonga (dialabale),Plat,Skot,Caba,5.0,Positif,Mot,Flat,Pavalala
Dilongesha,Enseignement,Onderrig,Imfundo,5.0,Positif,Verbe,Education,Dyondzo
Dilongolola,Préparation,Voorbereiding,Amalungiselelo,4.0,Positif,Verbe,Preparation,Malulamiselo
Dilua,Arrivée,Aankoms,Ukufika,1.0,Positif,Mot,Arrival,Fika
Diluangana,Lutte,Stryd,Umshikashika,2.0,Positif,Mot,Struggle,Kayakaya
Dilubakana,Embarras,Verleentheid,Ukuphoxeka,3.0,Positif,Verbe,Embarrassment,Ku khomiwa hi tingana
Dilulama,Droiture,Opregtheid,Ukulunga,4.0,Positif,Verbe,Righteousness,Ku lulama
Dilumbuluisha,Jugement,Oordeel,Isahlulelo,1.0,Positif,Mot,Judgement,Ku avanyisa
Dima,Argile,Klei,Ubumba,2.0,Positif,Mot,Clay,Vumba
Dimanya,Savoir,Kennis,Bona,3.0,Positif,Mot,Know,Tiva
"Dimanya, lungenyi",Connaissance,Kennis,Ukuzwa,2.85714285714286,Positif,Mot,Awareness,Vulemukisi
Dimanyisha,Information,Inligting,Ulwazi,3.0,Positif,Mot,Information,Marungula
Dimiamina,Aspersion,Besprinkeling,Ukudabula,3.14285714285715,Positif,Mot,Aspersion,Ku rhuketela
Diminu,Semence,Saad,Inhlwanyelo,3.28571428571429,Positif,Mot,Seed,Mbewu
Dimoma,Rouille,Roes,Ukugqwala,3.42857142857143,Positif,Mot,Rust,Rust
Dimueneka,Apparition,Voorkoms,Ukubonakala,3.57142857142857,Positif,Mot,Appearance,Xivumbeko
Dimuenesha,Démonstration,Demonstrasie,Isibonakaliso,3.71428571428572,Positif,Mot,Demonstration,Nkombiso
Dina,Fos,Fos,Ukuphambuza,3.85714285714286,Positif,Mot,Fos,Fos
Dina dia mayi,Fontaine,Fontein,Isisuko,4.0,Positif,Mot,Fountain,Xihlovo
Dinanga,Amour,Liefde,Thanda,4.14285714285715,Positif,Mot,Love,Rirhandzu
Dinanga,Affection,Geneentheid,Uthando,4.28571428571429,Positif,Mot,Affection,Ririrhandzu
Dinanukila,Persévérer,Volhard,Phikelela,4.42857142857143,Positif,Mot,Persevere,Tiyisela
Dinda,Matin,Oggend,Ekuseni,4.57142857142857,Positif,Mot,Morning,Mixo
Dinda,Point du jour,Dagbreek,Iphuzu losuku,4.71428571428572,Positif,Mot,Daybreak,Ku pfuka ka dyambu
Dinemekela,Révérence,Eerbied,Ukuhlonipha,4.85714285714286,Positif,Mot,Reverence,Ku xixima
Dinkenke,Splendeur,Prag,Ubukhazikhazi,5.0,Positif,Mot,Splendor,Ku vangama
Dinowa,Moisson,Oes,Okuvuniweyo,5.14285714285715,Positif,Mot,Harvest,Tshovela
Dinu,Dent,Tand,Izinyo,5.28571428571429,Positif,Mot,Tooth,Tino
Dinua,Boire,Drank,Phuza,5.42857142857143,Positif,Mot,Drink,Nwana
Dinunganyi,Rumeur,Gerug,Inzwabethi,5.57142857142857,Positif,Mot,Rumor,Mahungu
Dinungu,Jointure,Gewrig,Xhuma,5.71428571428572,Positif,Mot,Joint,Mahlangana
"Dinvuenkenya, Lupuishi",Poussière,Stof,Uthuli,5.85714285714286,Positif,Mot,Dust,Ritshuri
Dinyanguka,Corruption,Korrupsie,Ukonakala,6.0,Positif,Mot,Corruption,Vukungundzwana
Dinyanguka dia moyo,Dissolution,Ontbinding,Ukucacisa,6.14285714285715,Positif,Mot,Dissolution,Ku n’oka
Dinyanguta,Avarie,Skade,Umonakalo,6.28571428571429,Positif,Mot,Damage,Onhaka
Dinyoka,Sentence,Sin,Jezisa,6.42857142857143,Positif,Mot,Sentence,Xivulwa
Dinyunguluka,Tour,Toring,-Yingiliza,6.57142857142857,Positif,Mot,Round,Rhandzavula
Diondoka,Profond,Diep,-Julile,6.71428571428572,Positif,Mot,Deep,Enta
Dipa,Don,Geskenk,Donne,4.0,Positif,Mot,Don,Don
Dipa dia luse,Don de grâce,Geskenk van Genade,Isipho Somusa,4.0,Positif,Mot,Gift of grace,Nyiko ya tintswalo
Dipambuisha,Séduction,Verleiding,Ukuhlenga,4.0,Positif,Mot,Seduction,Ku yenga
Dipambuka,Égarement,Afwyking,Okokugwemakaza,4.0,Positif,Mot,Disorientation,Ku pfilunganyeka ka mianakanyo
Dipandulula,Division,Verdeeldheid,Isabelo,4.0,Positif,Mot,Division,Ku avana
Dipanga dia kudikanda,Incontinence,Inkontinensie,Ukungabaza,4.0,Positif,Mot,Incontinence,Ku tsandzeka ku tikhoma
Dipanga dikuatshisha,Inutilité,Nutteloosheid,Ukungabi nalusizo,4.0,Positif,Mot,Uselessness,Ku pfumala nchumu
Dipanga dinyanguka,Incorruptibilité,Onkreukbaarheid,Ukulimaza ingozi,4.0,Positif,Mot,Incorruptibility,Ku nga onhaki
Dipangadija,"Opinion, Propos",Opinie Doel,"Umbono, ubeke amazwana",4.0,Positif,Mot,"Opinion, Remarks","Mavonelo, Swibumabumelo"
Dipatuka,Sortie,Uitgang,Phuma,4.0,Positif,Mot,Exit,Huma
Dipeta,Acquisition,Verkryging,Okutholakele,4.0,Positif,Mot,Acquisition,Xava
Dipetu,IgMotinie,IgMotinie,Igmotinie,4.0,Negatif,Mot,IgMotinie,IgMotinie ya xirhendzevutani
Dipikula,Délivrance,Verlossing,Ukukhululwa,0.0,Neutre,Mot,Deliverance,Ku ntshunxiwa
Dipila,Condamnation,Veroordeling,Isigwebo,4.0,Positif,Mot,Conviction,Ku khorwiseka
"Dipingana, dipingaja",Retour,Terugkeer,-Dlulile,4.0,Positif,Mot,Back,Tlhelela
Dipita,Victoire,Oorwinning,Ukwahlula,4.0,Positif,Mot,Victory,Ku hlula
Dipumbisha,Obstacle,Hindernis,Isiphazamiso,4.0,Positif,Mot,Obstacle,Xirhalanganyi
Dipumbishibua,Absence,Afwesigheid,Ukungabibikho,4.0,Positif,Mot,Absence,Xwa
Dipunga diyi,Consentement mutuel,Wedersydse Toestemming,Imvume yokuhlangana,4.0,Positif,Mot,Mutual consent,Mpfumelelo wa vumbirhi
Dipungi,Fatigue,Moegheid,Ukudinwa,4.0,Positif,Mot,Fatigue,Karhala swinene
Dipuyakana,Respiration,Asemhaling,Ukuphefumula,4.0,Positif,Mot,Breathing,Ku hefemula
Disakidila,Gratitude,Dankbaarheid,Ukubonga,4.0,Positif,Mot,Gratitude,Khensa
Disalayi,Satellite,Satelliet,Imvoko,4.0,Positif,Mot,Satellite,Sathelayiti
Disalayi dilami dia tshitudilu,Préfet du prétoire,Praetoriaanse Prefek,PREETORIAN PERCECT,4.0,Positif,Mot,Prefect of the Praetorian Guard,Mufumi wa Murindzi wa Vuhosi
Disama,Maladie,Siekte,Isifo,4.0,Positif,Mot,Disease,Vuvabyi
Disama dia mashi apatuka,Flux,Vloei,Thuntululeka,4.0,Positif,Mot,Flow,Khuluka
Disama dia mubidi kapia,Fièvre,Koors,Imfiva,4.0,Positif,Mot,Fever,Dari
Disambakana,Rencontre,Vergadering,Hlangana,4.0,Positif,Mot,Encounter,Hlangana
Disambi,Consolation,Troosting,Iduta,4.0,Positif,Mot,Consolation,Nchavelelo
Disangisha,Rassemblement,Versameling,Idili,4.0,Positif,Mot,Gathering,Hlengeleta
Disangisha dia bintu,Collecte,Versamel,Izinto ezibuthelwe ndawonye,4.0,Positif,Mot,Collection,Hlengeleta
Disanka,Béatitude,Geluk,Ubumnandi,4.0,Positif,Mot,Bliss,Ntsako lowukulu
Disanka ,Heureux,Gelukkig,-Thokozile,4.0,Positif,Mot,Happy,Tsaka
Disanka,Joyeusement,Vreugdevol,-Nengelo,4.0,Positif,Mot,Joyfully,Hi ntsako
Disanka dia muoyo,Volupté,Welligheid,Ukuzinikela,4.0,Positif,Mot,Pleasure,Nkateko
Disanka dinene,Transport,Vervoer,Ukuthutha,4.0,Positif,Mot,Transportation,Ntleketlo
Disele,Roseau,Riet,Umnyathi,4.0,Positif,Mot,Reed,Reed
Disengelela,Supplication,Smeking,Ukunxusa,5.0,Positif,Mot,Supplication,Xikombelo
Dishima,Mensonge,Leuen,Ginqika,5.0,Negatif,Mot,Lie,Vunwa
Dishimbuka,Ruine,Ruïne,Ingqile incithakalikayo,4.0,Negatif,Mot,Ruin,Onhile
Dishiya,Rive,Kus,Ugu,0.0,Neutre,Mot,Shore,Ribuwa
Disolayi,Soldat,Soldaat,Ibutho,0.0,Neutre,Mot,Soldier,Socha
Disombuela,Vengeance,Wraak,Ukuphindisela,5.0,Positif,Mot,Revenge,Rihisela
Disoso,Déchirure,Traan,Ukudabula,4.0,Positif,Mot,Tear,Handzula
Disu,Œil,Oog,Ihlo,4.0,Positif,Mot,Eye,Tihlo
Disu,Trou,Gat,Umgodi,5.0,Positif,Mot,Hole,Mbhovo
Disua,Souhait,Wens,Fisa,5.0,Positif,Mot,Wish,Tsakela
Disua,Volonté,Wil,Isifiso,4.77272727272727,Positif,Mot,Will,Ntsakelo
Disumakaja,Grincement,Slyp,Ntswininiza,4.81468531468532,Positif,Mot,Squeaking,Ku rhurhumela
Disuminyina,Activité,Aktiwiteit,Ukukhuthala,4.85664335664336,Positif,Mot,Activity,Gingiriko
Disungula,Choix,Keuse,Ukukhetha,4.8986013986014,Positif,Mot,Choice,Hlawula
Disunsula,Détail,Detail,Umniningwane,4.94055944055944,Positif,Mot,Detail,Vuxokoxoko
Ditabala,Recouvrement,Herstel,Ukululama,4.98251748251748,Positif,Mot,Recovery,Kuma nakambe
Ditabuja,Réception,Ontvangs,Ihhovisi elamukela izivakashi ehhotela,5.02447552447553,Positif,Mot,Reception,Vuamukeri
Ditabuja,Foi,Geloof,Ukholo,5.06643356643357,Positif,Mot,Faith,Ripfumelo
Ditabuja dikese,Petite foi,Klein Geloof,Little Faith,5.10839160839161,Positif,Mot,Little faith,Ripfumelo ritsongo
Ditabujija,Perte,Verlies,Ukulahlekelwa,5.15034965034965,Positif,Mot,Loss,Lahlekeriwa
Ditalala,Tranquillité,Rustigte,Ukuthula,5.19230769230769,Positif,Mot,Tranquility,Ku rhula
Ditama,Joue,Speel,Idlala,5.23426573426573,Positif,Mot,Plays,Ku tlanga
Ditamba,Avantage,Voordeel,Imbuyiselo,4.0,Positif,Mot,Advantage,Nkateko
Ditamba dia mutshi,Sarment,Tak,Ubuhlanya,4.0,Positif,Mot,Sarment,Sarment ya xirhendzevutani
Ditamba,Triomphe,Triomf,Ngokunqoba,3.0,Positif,Mot,Triumph,Ku hlula
Ditangila,Visitation,Besoek,Ukuhanjelwa,3.0,Positif,Mot,Visitation,Ku endzela
Ditapuluka,Intrigue,Plot,Isakhiwo sendaba,3.0,Positif,Mot,Plot,Kungu
Ditapulula,Différence,Verskil,Umahluko,3.0,Positif,Mot,Difference,Hambana
Ditatshisha,Importunité,Aandringendheid,Ukwelulwa kwabahli,4.0,Positif,Mot,Importunity,Ku va na nkoka
Ditekemena,Espérance,Hoop,Ithemba,4.0,Positif,Mot,Hope,Ntshembho
Ditendelela,Culte,Aanbidding,Dumisa,4.0,Positif,Mot,Worship,Gandzela
Ditengula,Circoncision,Besnydenis,Ukusoka,5.0,Positif,Mot,Circumcision,Ku yimbisiwa
"Ditengula, divula",Dépouillement,Streeping,Ukubalwa,5.0,Positif,Verbe,Counting,Ku hlayela
Ditentekesha dia bianza,Imposition des mains,Handoplegging,Ukulala izandla,5.0,Positif,Mot,Laying on of hands,Ku veka mavoko
Diteta,Épreuve,Beproewing,Ukuzama,5.0,Positif,Mot,Test,Xikambelo
Ditoka dikole,Blancheur,Witheid,Ubumsulwa,4.0,Positif,Mot,Whiteness,Ku basa
Ditomboka,Sédition,Opstandigheid,Ukubangela,5.0,Positif,Mot,Sedition,Ku pfukela mfumo
Ditombokela,Apostasie,Afvalligheid,Ukuphuza kakhulu,4.0,Positif,Mot,Apostasy,Vugwinehi
"Ditonda, dikula",Confession,Belydenis,Ukuvuma,4.0,Positif,Verbe,Confession,Ku tiphofula
Ditontolola,Contradiction,Teenspraak,Ukuphikisa,4.0,Positif,Mot,Contradiction,Ku kanetana
Ditshina,Persécuter,Vervolging,Nqamuleza,0.0,Negatif,Mot,Persecute,Ku xanisa
Ditshiu,Oreille,Oor,Indlebe,0.0,Neutre,Mot,Ear,Ndleve
Ditu,Forêt,Woud,Ihlathi,4.0,Positif,Mot,Forest,Nhova
Ditua ,Tranchant,Skerp,-Bukhali,4.0,Positif,Mot,Sharp,Kariha
Ditua mikemu,Gémissement,Geweeklaag,Ukugquma,0.0,Neutre,Mot,Groan,Ku rhurhumela
Dituaya,Tablier,Voorskoot,Iphinifa,0.0,Negatif,Mot,Apron,Apron ya xirhendzevutani
Dituayi,Mouchoir,Sakdoek,Ihengeshi,0.0,Negatif,Mot,Handkerchief,Xihuku xa mavoko
Ditubula,Pénétrant ,Deurdringend,Ukungeniswa,5.0,Neutre,Mot,Penetrating ,Ku nghenelela 
Dituku,Jour,Dag,Usuku,5.0,Neutre,Mot,Day,Siku
Dituku dia Diledibua,Anniversaire de naissance,Verjaarsdag,Usuku lokuzalwa,5.0,Positif,Mot,Birthday,Siku ro velekiwa
Dituku dia disanka,Fête,Fees,Inhlangano,5.0,Positif,Mot,Party,Nkhuvo
Dituku dia Mukelenge,Jour du Seigneur,Sonsdag,Usuku LeNkosi,4.0,Negatif,Mot,Lord&#39;s Day,Siku ra Hosi
Ditumbisha,Louange,Lofprysing,Dumisa,0.0,Neutre,Mot,Praise,Dzunisa
Ditumikila,Obéissance,Gehoorsaamheid,Ukuzwa,4.0,Positif,Mot,Obedience,Ku yingisa
Ditupakana,Ignorance,Onkunde,Ukungazi,0.0,Neutre,Mot,Ignorance,Ku pfumala vutivi
Ditutu,Nuée,Wolk,Amafu,0.0,Neutre,Mot,Cloud,Papa
Diulu,Ciel,Hemel,Isibhakabhaka,5.0,Positif,Mot,Sky,Tilo
Diumusha,Enlèvement,Wegraping,Ukuthwala,4.0,Negatif,Mot,Kidnapping,Ku tekela vanhu swilo
Diumusha mu ditunga dia bantu kuya nabu mu ditunga dikuabu,Transportation,Vervoer,Ukuthutha,0.0,Neutre,Mot,Transportation,Ntleketlo
Diunvuika,Retentissant,Draaiende,-Ndumisa,5.0,Neutre,Mot,Resounding,Ku twala
Divulangana,Débordement,Oorvloeiende,Phuphuma,6.0,Positif,Mot,Overflow,Ku tala ka mati
Divuluka,Souvenir,Herinnering,Ukukhumbula,4.0,Positif,Mot,Memory,Miehleketo
Divundulula,Mouvement,Beweging,Ukuzamazama,5.0,Positif,Mot,Movement,Mafambelo
Diya,Départ,Vertrek,Ukuhamba,4.0,Neutre,Mot,Departure,Ku suka
Diyi,Commission,Opdrag,Amandla okwenza,4.0,Positif,Mot,Commission,Khomixini
Diyi,Message,Boodskap,Izwi elithunyelweyo,5.0,Positif,Mot,Message,Hungu
Diyi dimue,Accord,Ooreenkoms,Isivumelwano,5.0,Positif,Mot,Agreement,Ntwanano
Diyisha,Instruction,Instruksie,Ukufundisa,6.0,Positif,Mot,Instruction,Xiletelo
Diyisha,Doctrine,Leerstelling,Imfundiso,0.0,Neutre,Mot,Doctrine,Dyondzo
Diyoyi,Clameur,Geroep,Umkhumbi wakhomba,0.0,Neutre,Mot,Clamor,Ku huwelela
Diyoyo,Crierie,Skreeu,Imfihlo,0.0,Neutre,Mot,Crying,Ku rila
Diyoyo,Confusion,Verwarring,Isidididi,5.0,Positif,Mot,Confusion,Kanganyisa
Diyu,Œuf,Eier,Iqanda,5.0,Positif,Mot,Egg,Tandza
mushindu,categorie ,kategorie,uhlobo,8.0,Positif,Mot,category ,xiyenge 
dishindike,catégorique,kategories,-qanjululekile,9.0,Positif,Mot,categorical,xiyenge xa swiyenge
kushindika,categoriquement,kategories,ngokwezigaba,7.0,Positif,Mot,categorically,hi ku kongoma
kubenga,refuser,weier,ala,0.0,Neutre,Mot,refuse,ala
nzubu,cathédrale,katedraal,enesihlalo somBhishoshi,4.0,Positif,Mot,cathedral,kereke-nkulu
katolike,catholiscisme,Katolisisme,UbuKatolika,3.0,Neutre,Mot,Catholicism,Vukhatoliki
ekleziya wa bantu bonso,catholicité,Katolisiteit,Mocatority,0.0,Neutre,Mot,Catholicism,Vukhatoliki
mukatolike,catholique,Katoliek,IKhatholika,3.0,Positif,Mot,Catholic,Khatoliki
bulondeshile,catholiquement,Katoliek,iKhatholika,0.0,Neutre,Mot,Catholic,Khatoliki
musokoko,catimini,Sluwe,ku-sly,0.0,Neutre,Mot,secretly,exihundleni
takanangana,cauchemar,Nagmerrie,iphupho elesabisayo,0.0,Neutre,Mot,nightmare,maxangu
mukila/tshipepe,caudal,Steuer,caudal,6.0,Positif,Mot,caudal,caudal ya xirhendzevutani
mubela,cauris,Kaurie,Ama-Cowries,5.0,Positif,Mot,cowrie shells,swikhegelo swa cowrie
kenzela,causal,Oorsaaklik,isengele,5.0,Positif,Mot,causal,xivangelo xa xivangelo
dienzeja,causatif ,Oorsaaklik,-selanayo,0.0,Negatif,Mot,causative ,xivangelo lexi vangaka 
muji,cause,oorsaak,dala,-5.0,Negatif,Mot,cause,xivangelo
kuyukila,causer,oorsaak,dala,8.0,Positif,Mot,cause,xivangelo
diyuki,causerie,gesels,ukuxoxa,7.0,Positif,Mot,chat,bula
kayuki,causette,babbelaar,ukuxoxa,2.0,Neutre,Mot,chat,bula
mpiompia,causeur,babbelaar,oxoxa ngokuxoxa,6.0,Positif,Mot,talkative,mandangada
di-osha,caustique,bytend,caostic,7.0,Positif,Mot,caustic,caustic leyi nga ni khombo
mbabi,cauteleux,versigtig,-nobuthuzi,5.0,Positif,Mot,cautious,vukheta
tshiamu,cautere,brandbaar,I-CAUTELY,4.0,Positif,Mot,cautery,ku cautery
kuosha,cauteriser,brandbaar,nqaba,0.0,Neutre,Mot,cauterize,ku hisa
tshieya,caution,versigtigheid,faka,-6.0,Negatif,Mot,caution,lemukisa
kufila,cautionner,versigtigheid,loba igama emuva kwesheke,6.0,Positif,Mot,endorse,ku seketela
tshisumbu,cavalcade,kavalkade,cavalcade,8.0,Positif,Mot,cavalcade,xigolonyana xa tihanci
basola/babandi,cavalerie,kavallerie,amasosha agibeleyo,-5.0,Negatif,Mot,cavalry,vuthu ra vagadi va tihanci
mubandi,cavalier,ruiter,umgibeli,6.0,Positif,Mot,rider,mukhandziyi
tshikamakama,cavalierement,ruiterlik,iphoyisa,9.0,Positif,Mot,cavalier,cavalier
buina,cave,grot,sela,8.0,Positif,Mot,cellar,xigwitsirisi xa le hansi
ngomba,caveau,grotspelonk,indlu eyisisefo esikhulu,7.0,Positif,Verbe,vault,vault
kutonkona,caver,grotspeler,umhume,5.0,Positif,Mot,caver,caver
lubinga,caverne,grot,umhume,6.0,Positif,Mot,cave,bako
nyongolo,caverneux,grotspelonkagtig,-qhuba ngasobala,8.0,Positif,Mot,cavernous,cavernous leyi nga ni makhumbi
mpoko,cavite,holte,imbobo,9.0,Positif,Mot,cavity,xivandla xa xirhendzevutani
etshi, ceci,hierdie,leli,7.0,Positif,Mot, this, lexi
bufufu,cecite,hierdie,ubumpumputhe,0.0,Neutre,Mot,blindness,vubofu
kulekelela,ceder,stuur af,ukuthengisa,0.0,Neutre,Mot,to sell,ku xavisa
kanyoka,cedukke,stuur af,cedukke,-4.0,Negatif,Mot,cedukke,cedukke
kujinga,ceindre,gordel,bhince,0.0,Neutre,Mot,belt,bandi
mukaba,ceinture,gordel,isibhamba,-3.0,Negatif,Mot,belt,bandi
tshimono,hanche,heup,inqulu,-8.0,Negatif,Mot,hip,nyonga
kuvuadika,ceinturer,gordel,isibhamba,-7.0,Negatif,Mot,belt,bandi
mukaba,ceinturon,gordel,isibhamba,-6.0,Negatif,Mot,belt,bandi
atshio,cela,daardie,leyo,4.0,Positif,Mot,that,sweswo
tshiatshia,éloigné,ver,-buqamama,0.0,Neutre,Mot,distant,ekule
difuka,célébrant,vier,gumela,5.0,Positif,Mot,celebrating,ku tlangela
kutumbe,célébre,vier,-dumile,7.0,Positif,Mot,famous,ndhuma
kutumbisha,célébrer,bekendheid,gubha,9.0,Positif,Mot,celebrate,tlangela
katumbi,célébrité,vier,ubizo,-6.0,Negatif,Mot,celebrity,ndhuma ya ndhuma
kusokoka,celer,spoed,isinye noma noma,-7.0,Negatif,Mot,conceal,fihla
lubilu,célérité,hemelse,isibeletho,-5.0,Negatif,Mot,speed,rivilo
mudiulu,céleste,selibaat,-bukeyela basezulwini,-7.0,Negatif,Mot,celestial,ya le tilweni
bujike,célibat,enkel,ubumpohlo,-6.0,Negatif,Mot,celibacy,ku nga ngheneli vukati
mujike,célibataire,kelder,-Nye zwi,8.0,Positif,Mot,Single,Xin&#39;we
mulami,céllérier,kelder,sela,0.0,Neutre,Mot,cellar,xigwitsirisi xa le hansi
tshilaminu,cellier,kelder,sela,4.0,Positif,Mot,cellar,xigwitsirisi xa le hansi
kabambalu,cellule,kelder,iseli,6.0,Positif,Mot,cell,sele
ewu,celui,dat,Iyona yodwa,-8.0,Negatif,Mot,the one,loyi
ewu,celle,dat,leyo,9.0,Positif,Mot,that,sweswo
