CILUBA,French,Score,Sentiment,Nature,
Kulaba,Embaumer,0,neutrre ,Mot,
Kulaba manyi,Oindre,0,Neutre ,Mot,
Kulabula,Goûter,0,Neutre,Mot,
Kulaka,Lécher,1,Positif,Mot,
Kulala,Coucher,4,Positif,Mot,
Kuloka,Pleuvoir,3,Positif,Mot,
"Kulala, kuladika",Loger,0,Neutre,Mot,
Kulama,Conservation,-3,Negatif,Mot,
"Kulama, kushiya",Réserver,-3,Negatif,Mot,
Kulamakaja,Unir,5,Positif,Mot,
Kulamakajibua,Participation,0,Neutre ,Mot,
Kulamata,Dépendre,3,Positif,Mot,
Kulambuisha,Percevoir,2,Positif,Mot,
Kulambula,Sacrifier,3,Positif,Mot,
Kulamika ditamba dia mutshi,Enter,-1,Negatif,Mot,
Kulaya,Ajourner,3,Positif,Mot,
Kulayidila,Excuser,-2,Negatif,Mot,
Kule (udi),Éloigné,0, neuitre,Mot,
Kuledibua,Naissance,-1,Negatif,Mot,
Kuledibua kua tshiakabidi,Naître de nouveau,2,Positif,Mot,
Kuleja,Indiquer,0,Neutre,Mot,
Kuleja tshilema,Reprocher,-1,Negatif,Mot,
Kulekela,Abandon,2,Positif,Mot,
Kulekelela,Acquitter,-2,Negatif,Mot,
Kulekelela muntu bubi,Pardonner,0,Neutre,Mot,
Kulela,Accoucher,-3,Negatif,Mot,
Kulelela tshia kabidi,Régénérer,0,Neutre ,Mot,
Kulenduisha,Scandaliser,-1,Neutre ,Mot,
Kulenduka,Broncher,0,Neutre,Mot,
Kulenga,Toucher,0,Neutre,Mot,
Kulengeja,Orner,5,Positif,Mot,
,Perfidie,0,Neutre,Mot,
Kulengeja,Sanctifier,0,Neutre,Mot,
Kulengejibua,Perfectionnement,0,Neutre,Mot,
Kulengulula,Négliger,0,Neutre,Mot,
Kulepa,Stature,3,Positif,Mot,
Kulepesha,Prolonger,3,Positif,Mot,
Kulesha,Présenter,0,Neutre,Mot,
Kuloba,Pêcher,0,Neutre,Mot,
Oleve,"Olive, Olivier",0, Neutre,Mot,
Omega = Z,Oméga,0,Neutre,Mot ,
"Onso, bonso, bionso",Entier,2,Positif,Verbe,
Ours,Ours,0,Neutre,Mot,
Pa bule,Distance,-1,Negatif,Mot,
Pa diba adi,Instantanément,1,positf,Mot,
Pa kulela (Kutatshila),Enfantement,-2,Negatif,Mot,
Pa kuvuluka,Ressouvenir,0,Neutre,Mot,
Pa nkaya,Particulier,-2,Negatif,Mot,
Pabuipi,Voisin,0,Neutre,Mot,
Pabuipi ne muaba,Environs,0,Neutre,Mot,
Paladiso,Paradis,0,Neutre,Mot,
"Pamue, popamue",Commun,0,Neutre,Mot,
Panshi (pa buloba),Sol,0,Neutre,Mot,
Panyima,Revers,0,Neutre,Mot,
Patoke,Franchise,0,Neutre,Mot,
Patshiatshia pa kulu,Orient d'en haut,0,Neutre ,Mot,
Patupu,Vain,0,Neutre,Mot,
"Patupu (a), mapuekele",Vil,-1,Negatif,Mot,
Patupu (tshona),Inutilement,0,Neutre,Mot,
Pentekoste,Pentecôte,0,Neutre,Mot,
Pepi,Voisinage,0,Neutre,Mot,
Python,Python,0,Neutre,Mot,
Sabatu,Sabbat,2,Positif,Mot,
Saphir,Saphir,2,Positif,Mot,
Sardoine,Sardius,0,Neutre,Mot,
Sardony,Sardonix,2,Positif,Mot,
Seole,Orge,0,Neutre,Mot,
Soie (tshia),Soie,0,Neutre,Mot,
Soufre,Soufre,4,Positif,Mot,
Sud-est,Sud-ouest,1,Positif,Mot,
"Sude, munda munya",Midi,0,Neutre,Mot,
Sukamina,Mûrier,0,Neutre,Mot,
Sukomo,Sycomore,0,Neutre,Mot,
Tshia pa buloba,Terrestre,1,Positif,Mot,
Tshia pankatshi,Moitié,0,Negatif,Mot,
Tshia patupu,Déshonneur,-2,Negatif,Mot,
Tshia tshiendelele,Éternel,6,Positif,Mot,
Tshia tshipendu,Injurieux,-8,Negatif,Mot,
Tshia tshitshiu,Peuple,0,Neutre,Mot,
Tshiabungi,Immense,7,Positif,Mot,
Tshiadi,Poitrine,0,Neutre,Mot,
Tshiakabidi,Double,4,Positif,Mot,
Tshiakane Tshidi tshianyisha,Agréable,2,Positif,Mot,
"Tshiakane Tshidi
tshisankisha",Agréable,4,Positif,Mot,
Tshiakulakula,Conte,0,Neutre,Mot,
Tshiamu tshia mitaku,Airain,1,Positif,Mot,
Tshiamua,Fer,0,Neutre,Mot,
Tshianana,Faussement,-3,Neutre,Mot ,
Tshianyishanyisha,Flatterie,-5,Negatif,Mot,
Tshianza,Main,2,Positif,Verbe,
Tshibanda,Descente,2,Positif,Mot,
Tshibandilu,Degré,0,Neutre,Mot,
Tshibangidilu,Commencement,0,Neutre,Mot,
Tshibangu,Bâton,0,Neutre,Mot,
Tshibelu,Cuisse,-2,Negatif,Mot,
Tshibi,Mal,0,Neutre,Mot,
Tshibipe,Impur,-1,Negatif,Mot,
Tshibishi,Vert,-1,Negatif,Mot,
Tshibobe,Maturité,0,Neutre,Mot,
Tshibombu,Bourse,0,Neutre,Mot,
Tshibueledi,Accès,0,Neutre,Mot,
Tshibuikilu (tshia mushete wa tshipungidi),Propitiatoire,1,Positif,Mot,
"Tshibuikilu tshia pa
tshiadi",Cuirasse,1,Positif,Mot,
Tshibulula,Ouvert,1,Positif,Mot,
Tshibumba,Muraille,0,Neutre,Mot,
Tshibungubungu,Côte,0,Neutre,Mot,
Talala,Paisiblement,-3,Negatif,Mot,
Tatu,Père,-3,Negatif,Mot,
Thuya,Thuya,-2,Negatif,Mot,
Topaze,Topaze,1,Positif,Mot,
Tsha kabidi,Nouveau,1,Positif,Mot,
Tshabungi be,Abondamment,0,Neutre,Mot,
Tshakane (tshidi),Équitable,0,Neutre,Mot,
Tsheya,Caution,1,Positif,Mot ,
Tshia bademon,Diabolique,0,Neutre,Mot,
Tshia bukelenge,Royal,0,Neutre,Mot,
Tshia buowa,Terrible,0,Neutre,Mot,
Tshia butumbi,Splendidement,0,Neutre,Mot,
"Tshia dikumi, Kufila tshitupa atshi",Dîme,2,Positif,Mot,
Tshia dimomena,Rouillé,1,Positif,Mot,
Tshia kale (muleji),Ancien,0,Neutre,Mot,
Tshia kudia,Aliment,1,Positif,Mot,
Tshia kufunda,Tablette,1,Positif,Mot,
Tshia kuitaba,Acceptable,1,Positif,Mot,
Tshia kunua,Breuvage,2,Positif,Mot,
Tshia mu diulu,Céleste,0,Neutre,Mot,
Tshia mu tshisuku,Sauvage,-3,Negatif,Mot,
Tshia mubidi,Corporellement,1,Positif,Mot,
Tshia muinshi (mua buloba),Infernal,-2,Negatif,Mot,
Tshia nvita,Dépouille,2,Positif,Mot,
Tshia Nyuma,Spirituel,0,Neutre,Mot,
Tshia Nzambi,Divin,0,Neutre,Verbe,
Tshibungubungu,Rivage,-1,Negatif,Mot,
"Tshibutshidi; tshintu
tshia mushinga mukole",Trésor,0,Neutre,Mot,
Tshibutshilu,Cellier,0,Neutre,Mot,
Tshidi kapia,Bouillant,0,Neutre,Mot,
"Tshidi katshiyi mua
kujingulula",Insondable,1,Positif,Mot,
Tshidi katshiyi Tshijiminaa,Impérissable,0,Neutre,Mot,
"Tshidi katshiyi
tshijinguluka",Confus,2,Positif,Mot,
Tshidi katshiyi tshinyanguka,Incorruptible,-1,Negatif,Mot,
Tshidi katshiyi tshipetangana ne tshikuabu,Contraire,0,Neutre,Mot,
"Tshidi ne bukole,",Valide,-2,Negatif,Mot,
Tshidi ne bulelela,Sincérité,-1,Negatif,Mot,
Tshidi ne ngikadilu wa bukole,Endurcissement,1,Positif,Mot,
Tshidi pepi,Proche,2,Positif,Mot,
Tshidi tsha bundu,Infâme,0,Neutre,Mot,
Tshidi tshia bonso,Public,1,Positif,Mot,
Tshidi tshia kuakaja,Traitable,0,Neutre,Mot,
Tshidi tshia tshijila,Magnifique,0,Neutre,Mot,
Tshidi tshia tshilele,Naturel,0,Neutre,Mot,
Tshidi tshiengelela,Lumineux,1,Positif,Mot,
Tshidi tshikenka,Éclatant,-1,Negatif,Mot,
Tshidi tshikongyangale,Tortu,2,Positif,Mot,
Tshidi tshikulukulu,Vieux,-1,Negatif,Mot,
Tshidi tshimpe be,Excellent,1,Positif,Mot,
Tshidi tshimueneka,Visible,2,Positif,Mot,
"Tshidi tshishala
tshiendelele",Permettre,-2,Negatif,Mot,
Tshidi tshitabujibua,Supportable,0,Neutre,Mot,
Tshidi tshitupu,Vide,-3,Negatif,Mot,
Tshidi tshiyanguka,Corruptible,0,Neutre,Mot,
Tshidibuluenyi,Aneth,1,Positif,Mot,
Tshidikijilu tshia lubilu,Course,3,Positif,Mot,
Tshidilu,Crèche,0,Neutre,Mot,
Tshidimba,Gouvernail,2,Positif,Mot,
Tshidime,Cultivateur,2,Positif,Mot,
Tshidimu,"An, Année",-2,Negatif,Mot,
"Tshidimu tshia
mashika",Hiver,0,Neutre,Mot,
Tshidimu tshia mayowa,Été,3,Positif,Mot,
Tshiena bualu,Sujet,0,Neutre,Mot,
Tshiena lomo,Latin,1,Positif,Verbe,
Tshiendelele,Éternellement,1,Positif,Mot,
Tshiendelu,Parvis,-1,Negatif,Mot,
Tshienzedi,Action,-2,Negatif,Mot,
"Tshienzedi, malu",Œuvre,0,Neutre,Mot,
Tshieya,Arrhes,0,Neutre,Mot,
Tshifuafua,Mortel,0,Neutre,Mot,
Tshifufu,Complot,0,Neutre,Mot,
Tshifukibua,Créature,0,Neutre,Mot,
"Tshifukibua tshipia
tshipia",Nouvelle création,0,Neutre,Mot,
Tshifulu,Casque,0,Neutre,Mot,
Tshifulu tshia butumbi,Diadème,0,Neutre,Mot,
Tshiji,Colère,0,Neutre,Mot,
Tshiji,Colère,0,Neutre,Mot,
Tshij,Fureur,0,Neutre,Mot,
Tshijidila,Sacré,0,Neutre,Mot,
Tshijila,Pureté,1,Positif,Mot,
Tshijila ,Saintement,0,Neutre,Mot,
Tshijila ,Saint,0,Neutre,Mot,
Tshikaminu,Pressoir,0,Neutre,Mot,
Tshikanga,Cuit,0,Neutre,Mot,
Tshikankanyi,Talon,1,Positif,Mot,
Tshikena kumona,Vision,1,Positif,Mot,
Tshikole adi,Grave,-2,Negatif,Mot,
Tshikololo,Corbeau,-2,Negatif,Mot,
Tshikololo,Aigle,-2,Negatif,Mot,
Tshikondo,Antérieurement,-1,Negatif,Mot,
Tshikondo,Moment,0,Neutre,Mot,
Tshikondo etshi,Actuel,1,Positif,Mot,
Tshikondo tshimpe,Opportun,0,Neutre,Mot,
Tshikote,Cumin,1,Positif,Mot,
Tshikowelu,Vêtement,-2,Negatif,Mot,
Tshikoyeke,Immonde,-3,Negatif,Mot,
Tshikumbane,Assez Utile,-3,Negatif,Mot,
"Tshikumbane, tshiûja",Complet,2,Positif,Mot,
Tshikusu,Ver,2,Positif,Mot,
Tshikutu (tshia kapia),Fournaise,2,Positif,Mot,
"Tshikutu,
tshipukatshia mitshi",Buisson,2,Positif,Mot,
Tshilambuidi,Recette,2,Positif,Mot,
Tshile,Long,0,Neutre,Mot,
Tshilejelu,Exemple,0,Neutre,Mot,
Tshilele,Coutume,0,Neutre,Mot,
"Tshilele, tshibidilu",Habitude,0,Neutre,Mot,
Tshilelela,Réel,-1,Negatif,Mot,
Tshilelela,Antitype,0,Neutre,Mot,
Tshilema,Défaut,0,Neutre,Mot,
Tshilenduishi,Scandale,-5,Negatif,Mot,
Tshileshelu,Formule,0,Neutre,Mot,
Tshilobeshi,Proie,0,Neutre,Mot,
Tshilongo,Fleur,0,Neutre,Mot,
Tshilota,Songe,0,Neutre,Mot,
Tshilotalota,Extase,0,Neutre,Mot,
Tshilulu,Bande,0,Neutre,Mot,
Bia pa mutu ,Superflu,1,Positif,Mot,
Biakadiye nabi bualu,Indigence,1,Positif,Mot,
Biakane,Bienséan,1,Positif,Mot,
Biakulakula,Babil,-3,Negatif,Mot,
Biakunyibua bibishi,Verdure,-3,Negatif,Mot,
Biata,Couchette,0,Neutre,Mot,
Bibelu,Jambe,0,Neutre,Mot,
Bibidi,"Couple, Paire",8,Positif,Mot,
Bidi bimueneka ku mesu,Vue,5,Positif,Mot,
Bidi bisasa,Chaume,-5,Negatif,Mot,
Bidi kabiyi mua kuambibua,Inexprimable,0,Neutre,Mot,
Bidi kabiyi ne muoyo,Inanimé,2,Positif,Mot,
Bidi mua kujimina,Incertitude,2,Positif,Mot,
Bidi mua kuzakajibua ,Muable,2,Positif,Mot,
Bidia,Agapes,3,Negatif,Mot,
Bidia bia dibanji,Banquet,3,Negatif,Mot,
Bidia bia Mukelenge,Cène,3,Neutre,Mot,
Bidia bidi kabiyi ne luevene,Pain sans levain,0,Neutre,Mot,
"Bidimu, wa bidimu…",Âge,3,Positif,Mot,
Bielelu,Instrument,4,Positif,Mot,
Biensheshi,Soupçon,4,Negatif,Mot,
Bienzebu nunku,Autrement,4,Neutre,Mot,
Bienzedi,Fait,4,Positif,Mot,
Bienzedi,Conduite,4,Positif,Mot,
Bijitu,Fardeau,4,Negatif,Mot,
Bikole,Amèrement,5,Positif,Mot,
Bikole,Horriblement,2,Negatif,Mot,
Bikole,Vertement,0,Neutre,Mot,
"Bikole, bimpe",Soigneusement,0,Neutre,Mot,
Bikondo biakashala kunyima,Autrefois,5,Positif,Mot,
Bikuata,Prise,6,Positif,Mot,
Bilamba,Habit,6,Positif,Mot,
Bilamulamu,Écaille,-8,Negatif,Mot,
Bilengele,Bienséance,6,Positif,Mot,
Bilengele,Décent,2,Negatif,Mot,
Bilondeshele,Relativement,6,Positif,Mot,
Bilongo,Lis,7,Negatif,Mot,
Bilongolola,Prêt,7,Positif,Mot,
Bilulu,Agrès ,6,Positif,Mot,
Bilungakaja bimpe,Ajusté ensemble,3,Positif,Mot,
Bimane,Interdit,-1,Positif,Mot,
Bimpe,Bien,8,Positif,Mot,
Bimpe,Clair,8,Negatif,Mot,
Bimpe ,Sûrement,0,Neutre,Mot,
"Bimpe, ne kalolo",Diligemment,5,Positif,Mot,
Bimunyi,Lanterne,4,Positif,Mot,
Binamanya,Pourvu que,8,Positif,Mot,
Bingikala ntshiyi ngenza,Malgré moi,3,Positif,Mot,
Bintu,Subsistance,5,Positif,Mot,
Bintu,Cargaison,-3,Negatif,Mot,
Bintu bia bu ngenda,Marchandise,0,Neutre,Mot,
Bintu bia bululu,Fiel,0,Positif,Mot,
Bintu bia mupuya muimpe,Aromates,-1,Negatif,Mot,
Bintu bimansha ku diala,Ordure,-5,Negatif,Mot,
Binunu bibidi,Deux mille,0,Neutre,Nombre,
Binunu binayi,Quatre mille,10,Positif,Nombre,
Binunu bisatu,Trois mille,10,Positif,Nombre,
Binunu bitanu,Cinq mille,10,Positif,Nombre,
Binunu dikumi,Dix mille,10,Positif,Nombre,
Binunu dikumi ne bibidi,Douze mille,10,Positif,Nombre,
Binunu makumi abidi,Vingt mille,10,Positif,Nombre,
Binunu makumi abidi ne bisatu,Vingt-trois mille,10,Positif,Nombre,
"Bipendu, kupenda",Outrage,11,Positif,Mot,
Bipia,Tresse,12,Positif,Mot,
Bipikilu,Bath,-5,Negatif,Mot,
Bipusu,Gousse,0,Neutre,Mot,
Bisabata,Sandale,2,Negatif,Mot,
Bisaka,Corbeille,5,Positif,Mot,
Bisambusambu,Tabernacle,4,Positif,Mot,
Bishilangane,Contrairement,5,Negatif,Mot,
Bishimikidi,Fondement,3,Positif,Mot,
Bisonji,Larme,0,Neutre,Mot,
Bisonsa,Foin,2,Neutre,Mot,
Bisote,Balle,4,Positif,Mot,
Bitambe,Amplement,4,Positif,Mot,
Bitapikidi,Bourbier,-3,Negatif,Mot,
Bitekete,Défaillant,0,Neutre,Mot,
Bitulu bitulu,Exactement,8,Positif,Mot,
Bituntuku,Reins,-3,Negatif,Mot,
Bitupa bia bungi,Reprises,5,Positif,Mot,
Bitupa bia mubidi,Membre,4,Positif,Mot,
Biuma,Bien-être,0,Neutre,Mot,
Bizakalazakala,Raboteux,-9,Negatif,Mot,
Bouwa,Peut-être,0,Neutre,Mot,
Bu,Guise de,5,Positif,Mot,
Bu ,Environ,5,Positif,Mot,
Bu Mubidi,Corporel,5,Positif,Mot,
Bu mudi,Suivant,5,Positif,Mot,
Bu muntu,Naturellement,5,Positif,Mot,
Bua bualu,Moyen,5,Positif,Mot,
Bua Bualu,Cause,5,Positif,Mot,
Bua bualu ebu,Pourquoi,5,Positif,Mot,
Bua kukema,Merveilleux,8,Positif,Mot,
Bua muanda eu,Exprès ,0,Neutre,Mot,
Bua pabuabu,Extraordinaire,7,Positif,Mot,
Buakane,Justice,4,Positif,Mot,
Buakane,Seoir,-6,Negatif,Mot,
Buakuidi,Sacrificature,0,Neutre,Mot,
Bualu,Crime,-1,Negatif,Mot,
Bualu,Cause,5,Positif,Mot,
Bualu bua,Effet ,5,Positif,Mot,
Bualu bua kukema,Prodige,4,Positif,Mot,
Bualu bukole,Difficilement,5,Positif,Mot,
Bualu busokoka,Mystère,6,Positif,Mot,
Bualu busokoka bua bupidia,Mystère d'iniquité,6,Positif,Mot,
"Bualu, muanda",Nouvelle,4,Positif,Mot,
Buana,Enfance,4,Positif,Mot,
Buanga bua kulaba ku mesu,Collyre,4,Positif,Mot,
Buatu,Nacelle,2,Negatif,Mot,
Buatu bukese,Chaloupe,0,Neutre,Mot,
Buatu; mushete,Arche,1,Positif,Mot,
Buatu.,Barque,1,Positif,Mot,
Bubandi,Accusation,1,Positif,Mot,
Bubanji bua bungi,Opulence,1,Negatif,Mot,
Bubi,Iniquité,-1,Negatif,Mot,
Budi buakane,Convenir,3,Positif,Verbe,
Budi buimpe,Convenable,5,Positif,Mot,
Budi buitabujibua,Indulgence,2,Positif,Mot,
A dikamakama,Inconvenance ,2,Positif,Mot,
A Dinanga,Aimable,6,Positif,Mot,
A kuitabushisha,Persuasion,2,Positif,Mot,
A kukema,Étrange,9,Positif,Mot,
A pabuawu,Exceptionnel,9,Positif,Mot,
A patupu,Vain,5,Positif,Mot,
A tshianana,Oiseux,-3,Negatif,Mot,
Absinthe,Absinthe,-3,Negatif,Mot,
Adi a Tshiprofete,Prophétique,5,Positif,Mot,
Adi akuatshisha,Profitable,5,Positif,Mot,
"Adi ashima (meyi, mayisha)",Artificieux,5,Positif,Mot,
Alléluia,Alléluia,8,Positif,Mot,
Alo,Aloès,-3,Negatif,Mot,
Alpha,Alpha,8,Positif,Mot,
Amen,Amen,8,Positif,Mot,
Améthyste,Améthyste,-6,Positif,Mot,
Andi,Fonds,9,Positif,Mot,
Anu,Excepté,5,Positif,Verbe,
Anu pinapu,Immédiatement,5,Positif,Mot,
Anu tuaba tukese tudi tshale,Presque,5,Positif,Mot,
"Anu, misangu yonso,",Toutefois,4,Positif,Mot,
Apa,Présent,4,Positif,Mot,
Apa pa buloba,Ici-bas,5,Positif,Mot,
Arène,Arène,-3,Negatif,Mot,
Argent,Argent,8,Positif,Mot,
Dî,Parole,6,Positif,Mot,
Dia balume,Droit,9,Positif,Mot,
Dia bana ne bana,Fraternel,8,Positif,Mot,
Dia mu ditumba,Angulaire,-3,Negatif,Mot,
Dia,Dominical,0,Neutre,Verbe,
Diabulu,Diable,-6,Negatif,Mot,
"Diabulu, demon",Démon,-6,Negatif,Mot,
Diakane,Favorable,9,Positif,Mot,
Diakane,Commode ,3,Positif,Mot,
"Diakane, buimpe",Digne,3,Positif,Mot,
Diambedi,D’abord,8,Positif,Mot,
Diandamuna,Réponse,9,Positif,Mot,
Diapa,Épaule,2,Positif,Mot,
Diba,Heure,9,Positif,Mot,
Diba,Soleil,8,Positif,Mot,
Diba adi,Aussitôt,5,Positif,Mot,
Diba dia buakane,Soleil de justice,4,Positif,Mot,
Diba dikese,Instant ,6,Positif,Mot,
Dibaka,Mariage,9,Positif,Mot,
Dibala,Lecture,6,Positif,Mot,
Dibanza,Dette,9,Positif,Mot,
Dibaya,Planche,4,Positif,Mot,
Dibeji,Feuille,5,Positif,Mot,
Dibela,Discipliner,3,Positif,Mot,
Dibidi (dituku),Deuxième,7,Positif,Mot,
Dibika ku lufu,Résurrection,6,Positif,Mot,
Dibikidibua,Vocation,5,Positif,Mot,
Dibikila,Appel,5,Positif,Verbe,
Dibingishibua,Justification,5,Positif,Mot,
Diboko,Bras,4,Positif,Verbe,
Dibue,Caillou,3,Positif,Verbe,
Dibue a mushinga mukole,Permanent,2,Positif,Verbe,
Dibue dia muditumba,Pierre (cause d'achoppement),5,Positif,Verbe,
Dibue dia tshilenduishi,Piété,4,Positif,Mot,
Dibue dinene,Meule,2,Positif,Mot,
"Dibue dinene, lubuebue",Roc,0,Neutre,Mot,
Dibue ditoke tô,Cristal,4,Positif,Mot,
Dibuejibua,Introduction,8,Positif,Mot,
Dibuela,Entrée,5,Positif,Mot,
Dibuelakana (malu mabuela kane),Désordre,2,Positif,Mot,
Dibueneka ku mesu,Extérieurement,4,Positif,Mot,
Dibuikidila,Pardon,8,Positif,Mot,
Dibuikidila (mulambu wa),Propitiation,3,Positif,Mot,
Dibulu,Masse,5,Positif,Mot,
Dibuluibua,Révélation,5,Positif,Mot,
Dibungama,"Défait, Regret",5,Positif,Mot,
Dibungi,Nuage,5,Positif,Mot,
Dibungibungi,Vapeur,6,Positif,Mot,
Dibutuka,Désolation,6,Positif,Mot,
Didia dia disanka,Festin,6,Positif,Mot,
Didianjila,Avance,6,Positif,Mot,
Didianjila kukosa bualu mu mutshima,Préférence,6,Positif,Mot,
Didianjila kumanya,Préconnaissance,6,Positif,Mot,
Didibingisha,Excuse,6,Positif,Mot,
Dididishi,Fenêtre,0,Neutre,Mot,
Didikanda,Tempérance,7,Positif,Mot,
"Didimuisha, dilongesha, kalasa",Discipline,7,Positif,Mot,
Didinga,Fraude,7,Positif,Mot,
Didisankisha,Satisfaction,7,Positif,Mot,
Didisua; diambu,Orgueil,7,Positif,Mot,
Didiunda,Croissance,7,Positif,Mot,
Didiundisha,Avancement,8,Positif,Mot,
Dieba,Aiguillon,-3,Neutre,Mot,
Diedibua dia manyi,Onction,3,Positif,Mot,
Dienza,Opérant,4,Positif,Mot,
Dienzeja dia dipambuka,Énergie d'erreur,-6,Negatif,Mot,
Dienzejibua ku bukole,Contrainte,0,Positif,Mot,
Difika dia munda,Courroux,5,Positif,Mot,
Difikisha munda,Irritation,7,Positif,Mot,
Difu,Estomac,5,Positif,Mot,
Difuma,Lance,5,Positif,Mot,
Difutu,Dépens,5,Positif,Mot,
Dikenga,Tribulation,5,Positif,Mot,
Dikenga,Détresse,-1,Negatif,Mot,
Dikenga dia bintu,Privation,5,Positif,Mot,
Dikengeshibua,Oppression,5,Positif,Mot,
Dikenke,Éclat,5,Positif,Mot,
Dikima,Assurance,5,Positif,Mot,
Dikisha,Repos,5,Positif,Mot,
Dikolesha,Exercer,5,Positif,Mot,
Dikonka,Question,5,Positif,Mot,
Dikuatshisha,Contribution,5,Positif,Mot,
Dikuatshishangana,Fournissement,5,Positif,Mot,
Dikudimuka,Variation,5,Positif,Mot,
Dikudimuna,Changement,5,Positif,Mot,
Dikudimuna dia mutshima,Repentance,5,Positif,Verbe,
Dikuma dia mutshima bipeta mu njila mibi,Avide d'un gain honteux,5,Positif,Mot,
Dikuma dia mutshima ku biuma,Avarice,5,Positif,Mot,
Dikumbana,Accomplissement,4,Positif,Mot,
Dikumi,Dix,10,Positif,Nombre,
Dikumi ne binayi,Quatorze,8,Positif,Nombre,
Dikumi ne ibidi,Douze,8,Positif,Nombre,
Dikumi ne itanu,Quinze,8,Positif,Nombre,
Dikumi ne muanda mukulu,Dix-huit,6,Positif,Nombre,
Dikumi ne umue,"Onze, Onzième",6,Positif,Nombre,
Dikunji,Colonne,6,Positif,Mot,
Dikunyibua,Implanté,6,Positif,Mot,
Dikunza,Roux,6,Positif,mm,
Dikuta,Monnaie,6,Positif,Mot,
Dikuta dikese,Sou,6,Positif,Mot,
Diledibua kua tshiakabidi,Régénération,6,Positif,Mot,
Dileja dia mampa,Propositions des pains,2,Positif,Mot,
Dileja tshilema,Reproche,8,Positif,Mot,
"Dilelela, tshidi tshia kueyemenyibua",Certain,6,Positif,Mot,
Dilengeja,Purification,5,Positif,Mot,
Dilengejibua,Perfection,5,Positif,Mot,
Dilengesha,Parure,5,Positif,Mot,
Dileta,Lettre,5,Positif,Mot,
Diloba,Pêche,5,Positif,Mot,
Dilobo,Port,5,Positif,Mot,
Dilolo,Soir,5,Positif,Mot,
Dilomba,Demande,7,Positif,Mot,
Dilondolola dia ndelanganyi,Généalogie,7,Positif,Mot,
Dilonga,Bassin,5,Positif,Mot,
Dilonga (dialabale),Plat,5,Positif,Mot,
Dilongesha,Enseignement,5,Positif,Verbe,
Dilongolola,Préparation,4,Positif,Verbe,
Dilua,Arrivée,1,Positif,Mot,
Diluangana,Lutte,2,Positif,Mot,
Dilubakana,Embarras,3,Positif,Verbe,
Dilulama,Droiture,4,Positif,Verbe,
Dilumbuluisha,Jugement,1,Positif,Mot,
Dima,Argile,2,Positif,Mot,
Dimanya,Savoir,3,Positif,Mot,
"Dimanya, lungenyi",Connaissance,3,Positif,Mot,
Dimanyisha,Information,3,Positif,Mot,
Dimiamina,Aspersion,3,Positif,Mot,
Diminu,Semence,3,Positif,Mot,
Dimoma,Rouille,3,Positif,Mot,
Dimueneka,Apparition,4,Positif,Mot,
Dimuenesha,Démonstration,4,Positif,Mot,
Dina,Fos,4,Positif,Mot,
Dina dia mayi,Fontaine,4,Positif,Mot,
Dinanga,Amour,4,Positif,Mot,
Dinanga,Affection,4,Positif,Mot,
Dinanukila,Persévérer,4,Positif,Mot,
Dinda,Matin,5,Positif,Mot,
Dinda,Point du jour,5,Positif,Mot,
Dinemekela,Révérence,5,Positif,Mot,
Dinkenke,Splendeur,5,Positif,Mot,
Dinowa,Moisson,5,Positif,Mot,
Dinu,Dent,5,Positif,Mot,
Dinua,Boire,5,Positif,Mot,
Dinunganyi,Rumeur,6,Positif,Mot,
Dinungu,Jointure,6,Positif,Mot,
"Dinvuenkenya, Lupuishi",Poussière,6,Positif,Mot,
Dinyanguka,Corruption,6,Positif,Mot,
Dinyanguka dia moyo,Dissolution,6,Positif,Mot,
Dinyanguta,Avarie,6,Positif,Mot,
Dinyoka,Sentence,6,Positif,Mot,
Dinyunguluka,Tour,7,Positif,Mot,
Diondoka,Profond,7,Positif,Mot,
Dipa,Don,4,Positif,Mot,
Dipa dia luse,Don de grâce,4,Positif,Mot,
Dipambuisha,Séduction,4,Positif,Mot,
Dipambuka,Égarement,4,Positif,Mot,
Dipandulula,Division,4,Positif,Mot,
Dipanga dia kudikanda,Incontinence,4,Positif,Mot,
Dipanga dikuatshisha,Inutilité,4,Positif,Mot,
Dipanga dinyanguka,Incorruptibilité,4,Positif,Mot,
Dipangadija,"Opinion, Propos",4,Positif,Mot,
Dipatuka,Sortie,4,Positif,Mot,
Dipeta,Acquisition,4,Positif,Mot,
Dipetu,IgMotinie,4,Negatif,Mot,
Dipikula,Délivrance,0,Neutre,Mot,
Dipila,Condamnation,4,Positif,Mot,
"Dipingana, dipingaja",Retour,4,Positif,Mot,
Dipita,Victoire,4,Positif,Mot,
Dipumbisha,Obstacle,4,Positif,Mot,
Dipumbishibua,Absence,4,Positif,Mot,
Dipunga diyi,Consentement mutuel,4,Positif,Mot,
Dipungi,Fatigue,4,Positif,Mot,
Dipuyakana,Respiration,4,Positif,Mot,
Disakidila,Gratitude,4,Positif,Mot,
Disalayi,Satellite,4,Positif,Mot,
Disalayi dilami dia tshitudilu,Préfet du prétoire,4,Positif,Mot,
Disama,Maladie,4,Positif,Mot,
Disama dia mashi apatuka,Flux,4,Positif,Mot,
Disama dia mubidi kapia,Fièvre,4,Positif,Mot,
Disambakana,Rencontre,4,Positif,Mot,
Disambi,Consolation,4,Positif,Mot,
Disangisha,Rassemblement,4,Positif,Mot,
